source_id,sig,P_d,M2_msun,G,bp_rp,ruwe,cbias_risk,main_id,otype,sp_type,has_HD,has_HIP,sp_class
5065286383666887680,117.12703704833984,209.63705844305326,1.6538,7.433894634246826,1.3501558303833008,4.493999481201172,true,HD  18220,SB*,K2III,true,true,K_giant_FP
713459321305481856,116.82566833496094,747.817271866557,1.3259,11.942276954650879,0.8648099899291992,7.650221824645996,false,TYC 2495-850-1,SB*,G8,false,false,K_unknown_lc
5730638356108759936,115.80260467529297,319.7855679175753,1.2296,6.813429832458496,1.2249946594238281,8.799428939819336,true,HD  76321,SB*,K1III,true,true,K_giant_FP
448381258422473856,115.76678466796875,609.8835169597822,1.2188,11.576391220092773,1.151738166809082,8.795668601989746,false,UCAC4 732-029621,SB*,"",false,false,no_sp
5548150968152392576,115.3656997680664,263.1049676280711,1.2085,11.360273361206055,0.8215703964233398,5.611469268798828,false,TYC 7122-897-1,SB*,"",false,false,no_sp
6685116291284354432,114.85823822021484,884.7971616238842,1.2305,12.583710670471191,0.8713836669921875,12.002503395080566,false,UCAC2  13033712,SB*,"",false,false,no_sp
5416364152972856960,114.74308013916016,1068.715129264599,2.479,9.586109161376953,1.5296449661254883,5.860036373138428,true,CD-41  5870,SB*,"",false,false,no_sp
594487558974210304,114.51651000976562,476.41330347631356,1.7469,9.92119026184082,1.1482343673706055,7.22575044631958,false,TYC  219-1077-1,SB*,"",false,false,no_sp
3455352523083364992,114.4986343383789,874.022333083118,1.2509,8.455506324768066,1.1566290855407715,13.925369262695312,false,HD  39450,SB*,G5,true,false,G_dwarf
6501682017642079744,114.23027801513672,608.0565577879076,1.4891,9.150721549987793,1.327988624572754,5.6815185546875,true,HD 220994,SB*,K0/1III,true,false,K_giant_FP
5911682841234091392,113.83084106445312,895.501227700827,1.2806,11.934033393859863,1.2758302688598633,5.6045918464660645,true,UCAC4 145-212939,SB*,"",false,false,no_sp
5529992877215650688,113.8183364868164,315.47119787119544,1.2679,10.55056095123291,0.5762310028076172,6.963765621185303,false,TYC 7148-2979-1,SB*,"",false,false,no_sp
4365542134191706368,113.61615753173828,536.9067406679002,2.0906,10.53161907196045,1.7654533386230469,5.076537609100342,true,Cl* NGC 6254    CGW     406,SB*,"",false,false,no_sp
1719507444197994112,112.9981689453125,555.5825992722235,1.3881,9.896061897277832,0.6983442306518555,7.701485633850098,false,BD+82   373,SB*,G0,false,false,G_dwarf
3221755303461901184,112.94329071044922,642.1016597257261,1.5918,8.859970092773438,1.5260391235351562,5.385916709899902,true,HD 287750,SB*,K2,true,false,K_unknown_lc
792799908565877888,111.91583251953125,1032.8675075152526,1.8227,8.623371124267578,1.2102279663085938,12.360773086547852,true,HD  84559,SB*,K0,true,false,K_unknown_lc
5995760639998202624,111.7562026977539,512.3949455658629,1.2838,10.007678031921387,1.257411003112793,10.158799171447754,true,CD-41 10330,SB*,K,false,false,K_unknown_lc
4850049251588903936,111.37004852294922,469.7390997578451,1.8645,11.479757308959961,0.6135177612304688,4.7242584228515625,false,TYC 7572-1359-1,SB*,"",false,false,no_sp
164137573994576256,110.64142608642578,571.8084495773462,1.267,8.83236312866211,1.5432558059692383,7.59273099899292,true,HD 283282,SB*,K0,true,false,K_unknown_lc
2792902058745994752,110.46957397460938,622.9549066654307,2.2439,5.412534236907959,1.8384933471679688,4.953832149505615,true,*  48 Psc,SB*,K5III,true,true,K_giant_FP
2046010411380116096,110.41368865966797,729.8631273558908,2.023,7.955357074737549,1.5074877738952637,6.066341400146484,true,BD+32  3441,SB*,K2,false,true,K_unknown_lc
4627361760001541504,109.66674041748047,710.9010203082469,1.6107,9.828717231750488,1.3853425979614258,5.2301716804504395,true,CD-76   141,SB*,"",false,false,no_sp
421738339339817344,109.38585662841797,1005.333182588163,1.3966,9.579495429992676,1.2093219757080078,8.854541778564453,true,TYC 3661-130-1,SB*,"",false,false,no_sp
3082412751767070720,108.24903106689453,458.81432187992294,1.2311,12.114200592041016,0.6400327682495117,5.7962846755981445,false,GSC 04833-02070,SB*,"",false,false,no_sp
2991965653955197824,107.67501831054688,624.3165072302914,1.2669,11.667234420776367,1.0302448272705078,5.555652618408203,false,TYC 5931-416-1,SB*,"",false,false,no_sp
2132620694633811456,107.34225463867188,226.2319247786464,2.8731,6.947535514831543,1.2037887573242188,5.713901042938232,true,HD 181020,SB*,K0,true,true,K_unknown_lc
2850930094867824256,106.74920654296875,566.8995937888607,2.1581,9.593876838684082,1.456894874572754,6.102051258087158,true,BD+22  4918,SB*,K2,false,true,K_unknown_lc
4424399266498387968,106.38825225830078,771.0878385779027,1.8992,7.420993328094482,1.17476224899292,8.78044605255127,false,HD 141208,SB*,K0III/IV,true,true,K_giant_FP
5936857877996016512,106.1734619140625,736.1159038035249,1.9154,10.049983978271484,1.6808719635009766,7.6854095458984375,true,TYC 8335-3451-1,*,"",false,false,no_sp
1502222402994391936,105.87904357910156,671.0707914813138,1.7769,8.715703010559082,1.2811641693115234,4.600081443786621,true,BD+44  2304,SB*,G6,false,true,G_dwarf
2543788153077017344,105.70978546142578,816.2683778788082,2.3986,8.403801918029785,1.1247859001159668,8.753873825073242,false,HD   1957,SB*,G5/6IV,true,true,G_subgiant_giant
4783369128404125952,105.56449127197266,714.2288634233597,2.3424,6.354781150817871,0.9461345672607422,9.11070728302002,false,HD  31244,SB*,G6/K0(III),true,true,G_subgiant_giant
6481324594214446976,104.61683654785156,521.8553832357918,1.8706,11.610739707946777,0.6817617416381836,5.583836555480957,false,TYC 8416-37-1,SB*,"",false,false,no_sp
1593152388271709824,104.54187774658203,597.3647138061286,1.6428,11.300483703613281,0.8005561828613281,5.436919212341309,false,TYC 3477-27-1,*,"",false,false,no_sp
2922618184286613248,104.04672241210938,673.3734217024602,2.6855,8.640277862548828,1.706563949584961,4.981673240661621,true,CD-23  4568,SB*,"",false,false,no_sp
4976410144373588352,104.03489685058594,919.5441718662483,1.4275,8.345280647277832,1.6137032508850098,3.539997100830078,true,HD   4239,SB*,K3III,true,false,K_giant_FP
6413344676487606784,103.95280456542969,744.9560324067203,1.6082,9.078165054321289,1.5029754638671875,6.305173397064209,true,CD-76   935,SB*,"",false,false,no_sp
5421859482026944000,103.80169677734375,681.9782469763189,1.6999,9.56954288482666,1.3853702545166016,5.915196418762207,true,CD-37  6280,SB*,"",false,false,no_sp
962834090404242432,103.79170989990234,631.3208234023771,2.4527,7.186233043670654,1.0698986053466797,9.199728965759277,true,HD  42128,SB*,G5,true,true,G_dwarf
4880984320475076608,103.39261627197266,766.9749094327491,1.2361,6.918011665344238,1.3277645111083984,5.764585971832275,true,HD  30918,SB*,K1/2III,true,true,K_giant_FP
2932310448008453376,103.33049774169922,918.2116416022124,1.6625,9.98835277557373,1.0838251113891602,5.081921100616455,true,BD-19  1631,SB*,"",false,false,no_sp
1246517882893581312,103.24520111083984,477.0136371330861,1.8588,10.4531831741333,0.7425699234008789,6.656970977783203,false,BD+19  2743,SB*,G0,false,true,G_dwarf
1553573169424755840,102.96461486816406,671.0243798845135,1.2316,11.800557136535645,0.6817417144775391,6.1430230140686035,false,TYC 3462-1515-1,SB*,"",false,false,no_sp
4910857123687639680,102.64619445800781,1091.659671545873,2.092,9.510126113891602,0.6717557907104492,16.28756332397461,false,HD   9161,SB*,F6V,true,false,F_dwarf
542395859148732288,102.58968353271484,310.9379306057827,1.2745,8.989031791687012,1.3880443572998047,4.371365070343018,true,BD+70   226,SB*,K0,false,false,K_unknown_lc
4369616748182241664,102.06566619873047,911.0859306735105,1.4991,11.45339584350586,0.8635635375976562,6.273169994354248,false,TYC 5081-1115-1,SB*,"",false,false,no_sp
5342344927115049600,101.60028076171875,763.182206703602,1.3431,12.485212326049805,0.8518228530883789,6.65446138381958,false,UCAC4 167-072894,SB*,"",false,false,no_sp
5535060526299103360,101.4433364868164,498.4469071855156,2.562,7.537866592407227,1.5096712112426758,5.89773416519165,true,HD  61574,SB*,K2/3III,true,true,K_giant_FP
4874727068520140160,100.99249267578125,549.31988355912,1.2662,11.983824729919434,0.7822494506835938,6.175926685333252,false,TYC 7046-196-1,SB*,"",false,false,no_sp
3602460620464365568,100.5835952758789,754.7738580768587,1.2187,8.207813262939453,1.204422950744629,3.4506781101226807,true,HD 104676,SB*,G8IV,true,true,K_giant_FP
1587711248823230848,99.51808166503906,248.30633184010333,1.3039,11.572547912597656,0.6429729461669922,6.552630424499512,false,TYC 3482-620-1,SB*,"",false,false,no_sp
1972515755646986880,99.42510986328125,785.2381760872385,1.2818,10.637921333312988,0.7693033218383789,14.05295467376709,false,TYC 3594-2027-1,SB*,"",false,false,no_sp
5325306280759106304,99.29308319091797,677.4897189817506,1.3086,11.270848274230957,0.6883096694946289,5.204394340515137,false,TYC 8160-1916-1,SB*,"",false,false,no_sp
5411343855906036864,98.85428619384766,1002.1983926305717,2.8115,5.285792827606201,1.3064560890197754,15.817103385925293,true,HD  85563,PM*,K2III,true,true,K_giant_FP
5605861786565114240,98.5489273071289,771.3011950892908,1.5243,12.027070045471191,0.7290515899658203,8.790447235107422,false,UCAC4 295-018617,SB*,"",false,false,no_sp
6510669700565803904,98.3792495727539,426.1955109939845,1.4885,6.493436813354492,1.2045669555664062,4.646640300750732,true,HD 213882,SB*,K0III,true,true,K_giant_FP
1863224506000463488,98.01151275634766,648.4363793221223,1.7474,9.982159614562988,1.300053596496582,5.146718502044678,true,TYC 2691-624-1,SB*,"",false,false,no_sp
261311449583964672,97.82243347167969,869.3371163494668,1.2775,12.977489471435547,1.219736099243164,10.771349906921387,true,,,,false,false,no_simbad
2209972024843314560,97.77460479736328,848.7665993655121,1.7558,11.065754890441895,0.7065095901489258,6.41007137298584,false,TYC 4293-523-1,SB*,"",false,false,no_sp
563027022315237632,97.47159576416016,538.0390781716486,1.4269,11.902979850769043,1.0270519256591797,6.770589351654053,false,TYC 4493-2173-1,SB*,"",false,false,no_sp
2139246764018598912,97.345703125,523.4616235492024,1.4821,11.700895309448242,0.6284856796264648,7.346130847930908,false,,,,false,false,no_simbad
6000525545437147008,97.24866485595703,729.6707729781062,1.4535,8.634068489074707,1.0993156433105469,4.907105922698975,false,HD 136965,SB*,K0III,true,true,K_giant_FP
4776114134071301376,97.13654327392578,502.6623354894242,1.7358,12.265615463256836,0.6888723373413086,5.992347717285156,false,UCAC4 167-004898,SB*,"",false,false,no_sp
3298167616381808640,96.98502349853516,737.779219476982,1.5252,7.286100387573242,1.3160104751586914,8.546137809753418,true,HD  24973,SB*,K0,true,false,K_unknown_lc
6407789840663664896,96.6502456665039,453.41285175241495,1.3513,8.060215950012207,1.047318458557129,11.70556640625,false,HD 211525,SB*,K1/2III,true,true,K_giant_FP
2368073069539461632,96.61990356445312,861.0935122973391,1.5425,10.427963256835938,1.012441635131836,7.042941570281982,false,BD-18    20,SB*,"",false,false,no_sp
457039671979425280,96.3043212890625,713.3590946880672,2.519,10.568903923034668,0.6506738662719727,6.987226963043213,false,TYC 3694-3658-1,EB*,"",false,false,no_sp
6349327501744935424,96.30193328857422,559.7553048272762,1.5097,10.269187927246094,1.560643196105957,5.202160835266113,true,CPD-81   877,SB*,"",false,false,no_sp
5303483723728965632,96.22212982177734,677.3215032992247,1.4712,10.11362361907959,1.2924165725708008,6.009002685546875,true,TYC 8594-801-1,SB*,"",false,false,no_sp
1327861711622211200,96.2073745727539,563.113058422486,1.262,12.04773998260498,0.8105850219726562,5.503287315368652,false,TYC 2587-1685-1,SB*,"",false,false,no_sp
1131412278324875264,95.98210144042969,922.8803518543472,1.3728,9.891156196594238,1.1244316101074219,5.697213172912598,false,TYC 4545-1987-1,SB*,"",false,false,no_sp
5536753155731957504,95.8344955444336,560.0431427104776,2.9624,7.27188777923584,1.8075933456420898,5.003139972686768,true,HD  62277,SB*,K4III,true,false,K_giant_FP
4519042616098121728,95.19207000732422,503.93887118928586,1.2444,12.223260879516602,1.0826587677001953,6.616937637329102,false,UCAC4 555-078858,SB*,"",false,false,no_sp
6411098747891597824,95.08133697509766,531.8193902654532,1.2152,11.786087036132812,0.6911067962646484,5.8142924308776855,false,TYC 8821-757-1,SB*,"",false,false,no_sp
5344782376900291584,95.0804443359375,1054.247267188333,1.2799,11.895487785339355,0.9327630996704102,16.40476417541504,false,UCAC4 178-084688,SB*,"",false,false,no_sp
5313973781903300992,94.8982925415039,653.8030731531343,1.2339,12.467494010925293,1.4585886001586914,5.691913604736328,true,UCAC4 199-028389,SB*,"",false,false,no_sp
1983278462638949632,94.65611267089844,400.27996021555487,1.2607,11.823037147521973,0.9430332183837891,5.932356357574463,false,TYC 3620-271-1,SB*,"",false,false,no_sp
422858672962244224,94.26141357421875,679.1582044212043,2.0968,8.228925704956055,1.173232078552246,7.784482479095459,false,HD 236334,*,G5,true,false,G_dwarf
5763778529922517760,94.20563507080078,821.8057256284068,1.4556,9.69544506072998,0.8056020736694336,6.378086090087891,false,BD-02  2718,Em*,G2,false,false,G_dwarf
