cls,source_id,sig,P_d,M2_msun,G,bp_rp,simbad_main,otype,sp_type,has_HD,has_HIP,has_GJ,has_TYC,named_ids
BH,3692114626793521152,24.657981872558594,1131.6086132699322,4.6756,8.684179306030273,1.209284782409668,HD 112803,SB*,K1III,true,false,false,true,BD+02  2608|HD 112803
BH,6281177228434199296,24.306804656982422,153.94723620655344,11.0876,11.258724212646484,0.9119205474853516,GALEX J145250.3-192225,**,"",false,false,false,true,""
BH,176195162100535936,21.785127639770508,752.9234641025114,3.6052,10.102602005004883,1.583989143371582,HD 279687,*,G5,true,false,false,true,BD+35   842|HD 279687
BH,1763766669867101056,17.511470794677734,1264.7263865821883,3.1432,10.022650718688965,0.6130266189575195,TYC 1649-728-1,*,"",false,false,false,true,""
BH,4519469364057123328,15.821274757385254,1419.0943518763388,5.5639,9.453352928161621,1.886000633239746,HD 349788,SB*,K5,true,false,false,true,BD+19  3914|HD 349788
BH,2946055236704251520,14.603906631469727,754.9925788996725,5.6856,5.265003204345703,1.61525297164917,HD  49980,*,K3III,true,true,false,true,HIP 32809|BD-16  1624|HD  49980|HR  2535
BD,6574387911224287488,109.8785171508789,240.28121328189684,0.0721,11.383306503295898,2.3996095657348633,L  499-75,PM*,M2.5V,false,false,true,false,GJ 4253
BD,5533714311754660864,102.7706069946289,684.284385407629,0.0702,11.615766525268555,2.085428237915039,L  386-14,PM*,"",false,false,false,false,""
BD,6071451157905853312,92.89862060546875,530.1672098198553,0.0759,10.858572959899902,1.6617822647094727,L  194-115,SB*,"",false,true,false,true,HIP 60321
BD,2964512188640654976,91.30431365966797,813.7303046730203,0.0551,12.63531494140625,1.780837059020996,Gaia DR3 2964512188640654976,PM*,"",false,false,false,false,""
BD,431428541477607040,80.70242309570312,709.0809710858558,0.057,12.50321102142334,2.1991233825683594,Gaia DR3 431428541477607040,PM*,"",false,false,false,false,""
BD,2994437527894182272,76.93187713623047,800.0697224063844,0.0467,8.49638843536377,1.1752433776855469,HD  42606,PM*,K3V,true,true,false,true,HIP 29330|BD-13  1375|HD  42606
BD,530277454305601920,76.77581787109375,484.0070686830706,0.0584,10.958667755126953,1.297978401184082,LSPM J0032+7030W,SB*,"",false,false,false,true,""
BD,5544529073768027776,67.67522430419922,608.4354914712271,0.0775,12.064608573913574,2.0075693130493164,,,,false,false,false,false,""
BD,5642454293756185216,66.21240234375,276.50717418915633,0.0733,11.730746269226074,1.832839012145996,UCAC4 302-050985,SB*,"",false,false,false,false,""
BD,5200627086701212544,66.0902328491211,519.1660345514921,0.0645,12.309700965881348,2.1608057022094727,UCAC4 056-010061,PM*,"",false,false,false,false,""
BD,6901280071143747968,63.591217041015625,753.7069681777631,0.0747,12.367132186889648,1.631967544555664,UCAC4 393-127793,SB*,"",false,false,false,false,""
BD,4650837329708180480,62.82202911376953,687.2306264508542,0.0693,11.134195327758789,1.1703062057495117,HD 271457,PM*,K,true,false,false,true,HD 271457
BD,1969293121417575808,62.55498123168945,445.8456523621732,0.0786,10.027174949645996,1.2868766784667969,TYC 3172-643-1,*,K3V,false,false,false,true,""
BD,5583755078792642304,58.27452087402344,210.2663268481923,0.0576,7.474806785583496,0.8842792510986328,HD  47391,SB*,G7V,true,true,false,true,HIP 31623|HD  47391
BD,1976710804819064704,58.121768951416016,659.2531024883398,0.0747,11.951648712158203,1.309800148010254,UCAC4 698-108374,SB*,"",false,false,false,false,""
BD,4897069316595282560,55.40304183959961,653.0779479027411,0.0447,10.33440113067627,1.1269302368164062,CD-24  2162,PM*,"",false,false,false,true,""
BD,855523714036230016,54.12821960449219,145.07689259377315,0.0702,8.225801467895508,0.8335776329040527,HD  92320,SB*,F2-F5Ib,true,true,false,true,HIP 52278|BD+60  1279|HD  92320
BD,1390358021264524544,52.18294143676758,564.9641223749068,0.0647,10.95825481414795,1.1486396789550781,TYC 3056-264-1,SB*,K3,false,false,false,true,""
BD,4548068692260930816,52.13328170776367,510.0861824989046,0.0726,12.406036376953125,1.3670282363891602,,,,false,false,false,false,""
BD,2931102565761866496,50.3315544128418,426.6323790634301,0.0754,11.03838062286377,1.2234582901000977,TYC 5972-2735-1,SB*,"",false,false,false,true,""
BD,6383984898525990272,49.94495391845703,512.4186824212687,0.0701,12.926329612731934,2.3504486083984375,LEHPM 5235,PM*,"",false,false,false,false,""
BD,6557547649397377408,48.63615417480469,597.6740620844758,0.0785,12.122669219970703,1.2343673706054688,UCAC2   8926822,PM*,"",false,false,false,false,""
BD,5755182715519422336,45.028114318847656,401.33778680831676,0.0758,9.242443084716797,1.7642488479614258,BD-05  2603,SB*,K6V,false,true,true,true,GJ 316|HIP 42507|BD-05  2603
BD,4500563914425352576,44.93867111206055,333.0123144308129,0.0761,10.134488105773926,1.033102035522461,TYC 1005-308-1,PM*,"",false,false,false,true,""
BD,5821251995588120192,42.82267379760742,708.5594608962493,0.0638,12.40821647644043,1.6709709167480469,,,,false,false,false,false,""
BD,493099354099781248,40.67384338378906,793.8639431898561,0.0704,10.638063430786133,0.872157096862793,TYC 4326-248-1,*,"",false,false,false,true,""
BD,841536616165020416,39.64143753051758,485.5428821866423,0.0576,8.734236717224121,0.7552022933959961,HD 101767,PM*,F8,true,true,false,true,HIP 57135|BD+56  1539|HD 101767
BD,2457361312158947328,39.49363708496094,654.9356091880426,0.0628,12.614998817443848,1.5852203369140625,UCAC2  27221967,*,"",false,false,false,false,""
BD,1739379433242806144,39.20705795288086,137.88455468731433,0.0403,10.738832473754883,2.137187957763672,Ross  778,PM*,M0V,false,false,true,false,GJ 4195
BD,5284372837240905344,39.139671325683594,498.8536582805229,0.055,12.24128532409668,2.2891712188720703,UCAC3 49-20331,PM*,"",false,false,false,false,""
BD,1622555979193958016,38.680320739746094,526.1890303891267,0.0758,10.298799514770508,0.9615869522094727,TYC 3873-761-1,SB*,"",false,false,false,true,""
BD,4999795691545394304,38.6215705871582,969.0470817475424,0.0752,7.00003719329834,0.7525057792663574,HD   4975,*,G1V,true,true,false,true,HIP 3999|HD   4975
BD,1853704144046204032,36.58028030395508,687.7120421622436,0.0307,10.5683012008667,1.557220458984375,LP  341-28,PM*,K7V,false,true,false,true,HIP 105707
BD,6342331068739840000,34.647911071777344,387.9593049472569,0.0558,11.922883033752441,2.4381656646728516,PM J19194-8717,PM*,"",false,false,false,false,""
BD,5486916932205092352,34.48276901245117,253.47894535487214,0.0219,12.175582885742188,2.94451904296875,APMPM J0710-5704,**,M4V,false,false,false,false,""
BD,1518957932040718464,34.114463806152344,500.6943853626754,0.0615,11.622661590576172,1.5772361755371094,G 123-34,PM*,M0,false,true,false,true,HIP 60865
BD,4400970769652656640,33.45700454711914,842.8838695312469,0.0529,12.260843276977539,1.7620573043823242,Gaia DR3 4400970769652656640,PM*,"",false,false,false,false,""
BD,2778298280881817984,33.43559646606445,576.7190617265433,0.0494,8.525144577026367,0.7842283248901367,HD   5433,PM*,G5,true,true,false,true,HIP 4387|BD+14   139|HD   5433
BD,4715224868048058880,33.2977180480957,471.2345960698139,0.0787,12.600821495056152,1.262040138244629,UCAC4 160-001943,SB*,"",false,false,false,false,""
BD,136279144800019456,33.19327926635742,505.83575886827737,0.0699,9.746805191040039,1.309473991394043,BD+31   506,PM*,K4,false,false,false,true,BD+31   506
BD,1644373176107337344,32.980228424072266,591.4551353938447,0.0553,10.966719627380371,1.111598014831543,G 239-52,SB*,M3.5,false,true,false,true,HIP 75202
BD,2964776930424653184,32.464515686035156,740.4801883702263,0.0637,12.324580192565918,1.378279685974121,Gaia DR3 2964776930424653184,PM*,"",false,false,false,false,""
BD,4539057576001089408,32.23994827270508,855.8380725681343,0.077,10.335466384887695,1.4956283569335938,LP  335-104,SB*,"",false,true,false,true,HIP 91479
BD,1559672572740684544,32.153350830078125,333.16093445773254,0.0678,12.578118324279785,1.7662439346313477,UCAC4 705-051854,*,"",false,false,false,false,""
BD,5325647266799361024,31.76808738708496,609.8029873216293,0.0738,9.532942771911621,0.7943801879882812,HD  79589,*,G3V,true,true,false,true,HIP 45250|HD  79589
BD,1398115488116027264,30.851457595825195,290.6743215931472,0.0575,10.267477989196777,0.995875358581543,TYC 3490-739-1,SB*,"",false,false,false,true,""
BD,5231722379355280000,30.594762802124023,481.0831644561202,0.0765,9.373507499694824,0.9322490692138672,HD 310308,*,G6V,true,false,false,true,HD 310308
BD,1897143408911208832,30.0512752532959,712.2098986703652,0.0314,7.798445224761963,0.8818793296813965,HD 207740,PM*,G5V,true,true,false,true,BD+28  4209|HD 207740|HIP 107821
BD,4617994298889714944,29.350040435791016,548.3348011407704,0.0745,12.389662742614746,1.742685317993164,,,,false,false,false,false,""
BD,4529004294512067840,29.246891021728516,249.0603695842962,0.0794,12.289704322814941,1.6712408065795898,,,,false,false,false,false,""
BD,1095314693111048704,29.122501373291016,803.9113951686505,0.0539,11.855684280395508,1.241891860961914,UCAC4 783-020058,*,"",false,false,false,false,""
BD,5776191054129718912,29.12150764465332,238.43340878367002,0.065,10.669575691223145,0.9257125854492188,HD 156312B,SB*,"",true,false,false,true,HD 156312B
BD,6098403550832784384,29.042591094970703,179.1870760488004,0.0782,11.495772361755371,1.811309814453125,UCAC4 222-082722,SB*,"",false,false,false,false,""
BD,6717694064902244224,28.526397705078125,288.6869870483536,0.0748,10.775555610656738,1.056112289428711,TYC 7922-716-1,SB*,"",false,false,false,true,""
BD,1399474858147972480,27.8411808013916,238.9380037316737,0.0771,9.851140975952148,1.0149660110473633,TYC 3494-678-1,SB*,G9,false,false,false,true,""
BD,4604356575135671040,27.832530975341797,727.6401690059436,0.0616,12.84579086303711,2.3037548065185547,,,,false,false,false,false,""
BD,1378978110276584704,27.653562545776367,213.8546352900514,0.0585,8.773907661437988,0.9693527221679688,HD 145498,SB*,G5,true,false,false,true,BD+38  2731|HD 145498
BD,5501729312336121856,27.556398391723633,130.25260696988832,0.0764,11.511740684509277,1.412856101989746,UCAC2   9182345,SB*,"",false,false,false,false,""
BD,4598289263814843136,26.602630615234375,435.8096493647686,0.0436,12.855889320373535,1.3812189102172852,Gaia DR3 4598289263814843136,*,"",false,false,false,false,""
BD,1082429104027040000,26.488296508789062,520.1926487125346,0.0406,11.54419231414795,1.8174686431884766,G 193-64,PM*,"",false,false,false,false,""
BD,5263560319072605824,26.33579444885254,608.6969874112378,0.0789,12.627302169799805,1.179708480834961,UCAC4 094-012931,*,"",false,false,false,false,""
BD,1035000055055287680,26.25732421875,241.6272531745606,0.0311,7.30169153213501,0.9315953254699707,HD  68638,SB*,G8V,true,true,false,true,HIP 40497|BD+57  1128|BD+57  1128A|HD  68638
BD,5776759639080398720,26.25364112854004,494.85822972073544,0.0518,12.29673957824707,1.2479248046875,UCAC4 059-024287,*,"",false,false,false,false,""
BD,5999024986946599808,26.2336368560791,242.68752590443856,0.0662,10.535914421081543,0.9424018859863281,CD-46 10046,PM*,G0,false,false,false,true,""
BD,5806112991773422592,26.118513107299805,671.7478572728763,0.043,11.479818344116211,1.6519412994384766,UCAC3 36-131666,PM*,"",false,false,false,false,""
BD,4901802507993393664,26.002378463745117,476.3644470369194,0.0136,9.113743782043457,1.4656391143798828,HD   3221,SB*,K4Ve,true,true,false,true,HIP 2729|HD   3221
BD,4984264505688458112,25.824098587036133,196.67375162754513,0.074,11.443690299987793,0.928253173828125,UCAC4 245-001421,SB*,"",false,false,false,false,""
BD,4129032269620897408,25.073150634765625,528.6527956380671,0.0769,12.533113479614258,1.2213764190673828,,,,false,false,false,false,""
