targetid,name,ra,dec,cls,grp,G,bprp,MG,Teff,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,n3,nneg,ratio,wdj_x,wdj_y,specType,TEFF,LOGG,designation
39633035116677356,WDJ151616.36+374911.88,229.0680483656008,37.81999812162995,DA,H,18.211,-0.265,10.637,21956.0,13.3,9.85,n60,-160.0,1.12,3.5/8.6/4.4,1.38,0.95,2.87,3,0,7.13768115942029,WDJ151616.36+374911.88,WDJ151616.36+374911.88,DA,20776.20428851684,7.899646335975231,Gaia DR3 1388314578904207872
39633161113569513,WDJ073528.35+443951.41,113.86804201794942,44.664168349316526,DA,H,18.733,-0.042,11.582,12677.0,22.0,9.22,n60,40.0,1.0,6.0/6.1/3.5,1.3,0.96,1.46,3,0,7.092307692307693,WDJ073528.35+443951.41,WDJ073528.35+443951.41,DA,14901.085905966273,8.049645244754402,Gaia DR3 925478595166141056
39633364591840595,WDJ065901.16+581058.12,104.75480778416532,58.18274432841055,DA,H,19.247,-0.073,10.147,10364.0,11.4,9.18,n60,0.0,1.03,6.3/5.3/4.2,1.84,1.93,2.24,3,0,4.756476683937824,WDJ065901.16+581058.12,WDJ065901.16+581058.12,DA,18596.113950317485,7.598623722341559,Gaia DR3 1002144994054716288
39628328444888236,WDJ084253.03+230025.47,130.72083658713325,23.006570347173938,DA,H,14.417,-0.367,9.979,26867.0,301.7,9.09,n60,60.0,2.28,2.0/6.0/8.1,0.66,3.47,0.44,2,0,2.6195965417867435,WDJ084253.03+230025.47,WDJ084253.03+230025.47,DA,24371.236599294964,7.881898128923191,Gaia DR3 665392383790872192
39632956926461827,WDJ170517.87+334507.57,256.3244449877505,33.75210036091736,DA,H,19.316,-0.158,7.782,35065.0,4.7,8.81,n60,60.0,1.07,3.8/7.6/3.6,1.46,2.37,6.31,3,0,3.717299578059072,WDJ170517.87+334507.57,WDJ170517.87+334507.57,DA,34531.92970974908,7.5080895803109,Gaia DR3 1337637877526582144
39628098513144205,WDJ082503.77+130520.80,126.26567484915064,13.0890763813488,DAE,H,19.145,-0.034,10.306,,6.8,8.64,n60,-60.0,1.0,5.0/5.7/4.2,2.76,1.98,3.3,3,0,3.130434782608696,WDJ082503.77+130520.80,WDJ082503.77+130520.80,WD+MS,11992.9642272674,7.651619481177672,Gaia DR3 651090310197508480
39633319129776594,WDJ170546.28+544531.00,256.4428111991655,54.75860596652644,DA,H,18.743,-0.02,9.442,9839.0,9.3,8.64,n60,-160.0,1.0,2.2/8.5/4.0,1.82,1.92,3.87,2,0,4.500000000000001,WDJ170546.28+544531.00,WDJ170546.28+544531.00,WD+MS,22259.34585038004,7.383599960224112,Gaia DR3 1420161791468469504
39633059443642570,WDJ181928.96+385757.75,274.87065018824364,38.96605145598953,DAE,H,19.919,0.336,8.586,,4.6,8.61,n60,-100.0,1.1,5.0/7.7/1.3,2.61,2.03,5.46,2,0,3.2988505747126435,WDJ181928.96+385757.75,WDJ181928.96+385757.75,WD+MS,7149.1041610093625,7.021342501497263,Gaia DR3 2109064821940549504
39633372355497810,WDJ174518.01+583845.40,266.325014942281,58.64588244831107,DA,H,18.605,-0.161,11.131,18693.0,9.4,8.57,n150,-60.0,1.07,5.9/5.3/3.2,1.2,2.33,6.56,3,0,3.678111587982833,WDJ174518.01+583845.40,WDJ174518.01+583845.40,DA,18182.161048963368,8.107403162701022,Gaia DR3 1422883877316835840
39633080624877601,WDJ071959.42+402122.13,109.99862799871885,40.355547619365375,DB,nonH,14.864,-0.2,10.971,,240.9,8.11,n60,-40.0,1.76,1.8/5.6/6.9,2.41,2.89,0.47,2,0,2.806228373702422,WDJ071959.42+402122.13,WDJ071959.42+402122.13,DB,16931.406241377514,7.954879027464493,Gaia DR3 948246835277407744
