MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,snr
57354.228239,-20.146,1.318,-32,42,o,0,1.11,313.22651,-14.84044,1430.06,704.93,5.19,3.62,-35.9,-0.513,18.65,20.01,02a57354o0090o,-0.7619047619047619
57354.232697,20.322,2.778,27,75,o,0,1.02,313.22651,-14.84044,1429.83,703.93,5.34,3.63,-33.3,-0.491,17.83,19.17,02a57354o0097o,0.36
57354.236518,17.8,0.606,275,167,o,0,0.74,313.22651,-14.84044,9999.77,10501.62,3.96,3.78,-9.7,-0.455,18.38,19.78,02a57354o0103o,1.6467065868263473
57354.239037,-20.287,3.692,-28,103,o,0,1.01,313.22651,-14.84044,1430.08,703.12,5.45,3.75,-33.9,-0.511,18.26,19.64,02a57354o0107o,-0.27184466019417475
57354.242852,19.604,2.41,52,126,o,0,0.37,313.22651,-14.84044,9999.94,10501.36,3.98,3.86,-2.2,-0.453,18.24,19.52,02a57354o0113o,0.4126984126984127
57354.249192,19.252,2.941,72,213,o,0,0.15,313.22651,-14.84044,10000.31,10501.17,3.91,3.8,5.5,-0.448,18.14,19.39,02a57354o0123o,0.3380281690140845
57354.256816,-21.589,23.167,-8,195,o,0,0.3,313.22651,-14.84044,9999.71,10500.61,3.8,3.7,6.9,-0.467,17.91,18.89,02a57354o0135o,-0.041025641025641026
57357.210558,21.198,3.5,12,42,o,0,0.91,313.22651,-14.84044,1433.12,409.28,4.99,3.49,-38.8,-0.549,18.81,20.18,02a57357o0061o,0.2857142857142857
57357.222647,-19.217,0.44,-75,33,o,0,1.38,313.22651,-14.84044,143.0,10180.45,4.07,3.72,-63.7,-0.466,18.73,20.09,02a57357o0080o,-2.272727272727273
57357.224551,-19.575,0.767,-54,41,o,0,0.93,313.22651,-14.84044,1736.48,412.39,5.22,3.58,-33.7,-0.508,18.81,20.21,02a57357o0083o,-1.3170731707317074
57357.228993,-20.207,0.97,-30,29,o,0,1.12,313.22651,-14.84044,10000.3,10203.41,3.84,3.81,-87.8,-0.458,18.8,20.18,02a57357o0090o,-1.0344827586206897
57357.236774,-20.366,1.455,-26,38,o,0,0.87,313.22651,-14.84044,2307.6,1008.94,4.85,3.64,-33.4,-0.49,18.79,20.15,02a57357o0102o,-0.6842105263157895
57357.241238,19.726,0.667,47,31,o,0,1.12,313.22651,-14.84044,10306.77,10202.49,3.84,3.76,78.6,-0.459,18.77,20.11,02a57357o0109o,1.5161290322580645
57358.209995,21.611,5.182,8,43,o,0,1.23,313.22651,-14.84044,1733.69,412.55,5.65,3.93,-36.0,-0.499,18.6,19.95,02a57358o0067o,0.18604651162790697
57358.220409,-20.693,2.0,-19,38,o,0,1.37,313.22651,-14.84044,2022.7,1004.45,5.06,3.8,-38.3,-0.541,18.63,19.99,02a57358o0084o,-0.5
57358.224085,24.553,86.0,0,47,o,0,0.96,313.22651,-14.84044,448.75,10180.02,4.26,3.87,-63.0,-0.46,18.57,19.85,02a57358o0090o,0.0
57358.225311,-21.155,2.833,-12,36,o,0,1.05,313.22651,-14.84044,10306.24,10202.58,4.07,3.97,75.2,-0.47,18.63,20.03,02a57358o0092o,-0.3333333333333333
57368.190298,-18.851,2.302,-105,241,o,0,1.01,313.22651,-14.84044,640.09,9976.83,4.9,4.04,-55.8,-0.441,17.06,16.98,02a57368o0026o,-0.43568464730290457
57368.190917,-18.725,2.348,-117,276,o,0,0.86,313.22651,-14.84044,10495.69,9991.33,4.26,3.93,58.6,-0.45,17.27,17.34,02a57368o0027o,-0.42391304347826086
57368.202685,18.376,0.426,162,69,o,0,1.1,313.22651,-14.84044,60.0,9390.63,4.88,4.02,-53.4,-0.427,18.2,19.26,02a57368o0046o,2.347826086956522
57368.205994,19.348,0.557,66,37,o,0,1.72,313.22651,-14.84044,9905.19,9413.1,4.09,3.73,72.5,-0.462,18.38,19.51,02a57368o0051o,1.7837837837837838
57370.193407,-20.905,4.625,-16,73,c,0,1.31,313.22651,-14.84044,10496.81,10000.11,4.27,4.2,39.4,-0.442,17.83,18.37,02a57370o0025c,-0.2191780821917808
57370.203783,19.788,0.674,44,30,c,0,1.24,313.22651,-14.84044,9898.77,9406.66,4.35,4.16,75.6,-0.408,18.65,20.04,02a57370o0042c,1.4666666666666666
57481.615961,-20.195,1.362,-30,41,c,0,0.96,313.22651,-14.84044,10021.62,1055.85,5.28,4.11,30.7,-0.449,18.71,20.11,02a57481o0827c,-0.7317073170731707
57481.619829,21.926,6.5,6,40,c,0,1.03,313.22651,-14.84044,9943.97,1075.35,5.13,4.04,29.9,-0.46,18.72,20.13,02a57481o0835c,0.15
57495.587978,-19.913,0.877,-39,34,o,0,1.02,313.22651,-14.84044,9197.5,9949.29,4.51,3.95,76.2,-0.417,18.61,20.02,02a57495o0734o,-1.1470588235294117
57511.615445,-20.31,0.843,-27,23,c,0,1.03,313.22651,-14.84044,843.8,146.86,5.18,3.74,-20.9,-0.465,19.21,20.92,02a57511o0796c,-1.173913043478261
57530.570273,-20.254,2.149,-29,62,o,0,1.09,313.22651,-14.84044,1688.32,1857.11,5.0,4.0,-22.3,-0.444,18.03,18.97,02a57530o0466o,-0.46774193548387094
57530.582468,-19.515,0.989,-57,56,o,0,1.06,313.22651,-14.84044,1629.01,1779.14,4.91,3.93,-22.6,-0.477,18.15,19.07,02a57530o0491o,-1.0178571428571428
57530.594717,20.437,2.167,24,53,o,0,1.09,313.22651,-14.84044,1612.28,1894.77,4.84,3.88,-22.9,-0.488,18.2,19.15,02a57530o0516o,0.4528301886792453
57530.607091,20.097,1.696,33,56,o,0,0.93,313.22651,-14.84044,1649.19,1834.38,4.93,3.91,-25.5,-0.487,18.2,19.18,02a57530o0541o,0.5892857142857143
57538.561906,19.903,0.651,40,26,c,0,0.87,313.22651,-14.84044,10016.01,10419.93,4.62,3.79,81.6,-0.395,19.13,20.7,02a57538o0624c,1.5384615384615385
57538.569987,-20.077,0.803,-34,27,c,0,0.84,313.22651,-14.84044,1439.48,613.88,4.97,3.52,-16.8,-0.5,19.07,20.59,02a57538o0639c,-1.2592592592592593
57538.574169,20.787,1.41,18,25,c,0,1.07,313.22651,-14.84044,10039.58,10457.21,4.57,3.78,81.7,-0.405,19.15,20.71,02a57538o0647c,0.72
57538.575402,-20.155,0.894,-32,28,c,0,0.94,313.22651,-14.84044,300.96,10414.11,4.49,4.04,-39.7,-0.421,19.08,20.63,02a57538o0649c,-1.1428571428571428
57538.582273,23.911,25.0,1,25,c,0,1.18,313.22651,-14.84044,1464.61,650.14,4.83,3.49,-15.7,-0.503,19.1,20.61,02a57538o0662c,0.04
57538.587179,-23.594,17.333,-1,23,c,0,1.01,313.22651,-14.84044,9976.62,10378.2,4.52,3.73,80.9,-0.417,19.17,20.73,02a57538o0671c,-0.043478260869565216
