ra,dec,id,otype,catalog,source_id,pulled_utc
270.404167,-28.738611,V1174_Sgr_1,N,ritter_kolb,,2026-06-01T01:35:02Z
213.300833,-65.337222,J1413-6520,NL,ritter_kolb,,2026-06-01T01:35:02Z
260.78,-12.8025,RY_Ser_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
131.113333,12.875556,AC_Cnc_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
301.824583,36.076944,V2274_Cyg_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
74.284583,45.463889,J0457+4527,NL,ritter_kolb,,2026-06-01T01:35:02Z
281.63125,12.233889,V838_Her_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
323.432083,51.123611,J2133+5107,NL,ritter_kolb,,2026-06-01T01:35:02Z
35.389583,32.723333,0218+3229,DN,ritter_kolb,,2026-06-01T01:35:02Z
292.754167,33.784444,V792_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
262.465,22.135556,J1729+2208,DN,ritter_kolb,,2026-06-01T01:35:02Z
99.910833,5.898056,V959_Mon,N,ritter_kolb,,2026-06-01T01:35:02Z
163.049583,-61.687222,J1052-6141,DN,ritter_kolb,,2026-06-01T01:35:02Z
294.667083,30.507778,EM_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
126.305,73.110833,Z_Cam_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
123.34125,45.469444,FH_Lyn,DN,ritter_kolb,,2026-06-01T01:35:02Z
244.787917,13.862778,J1619+1351,DN,ritter_kolb,,2026-06-01T01:35:02Z
285.46,-13.161944,V1059_Sgr_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
271.965417,5.863611,V426_Oph_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
161.815,-79.468611,ST_Cha,DN,ritter_kolb,,2026-06-01T01:35:02Z
264.393333,-16.388333,V2540_Oph_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
221.223333,-63.898611,BY_Cir_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
263.685417,-28.176667,V972_Oph_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
285.28875,-22.001667,V4743_Sgr,Na,ritter_kolb,,2026-06-01T01:35:02Z
357.627083,-31.459444,2347-3144,NL,ritter_kolb,,2026-06-01T01:35:02Z
135.5425,-11.508889,J0902-1130,DN,ritter_kolb,,2026-06-01T01:35:02Z
325.677917,43.586111,SS_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
289.360417,37.178056,V587_Lyr_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
265.683333,-23.676389,V2615_Oph,Na,ritter_kolb,,2026-06-01T01:35:02Z
162.075,52.308333,LY_UMa,DN,ritter_kolb,,2026-06-01T01:35:02Z
69.874583,-4.599722,BF_Eri_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
159.949167,-62.924722,J1039-6255,DN,ritter_kolb,,2026-06-01T01:35:02Z
101.143333,33.749167,J0644+3344,NL,ritter_kolb,,2026-06-01T01:35:02Z
5.387917,-51.709444,CM_Phe_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
173.696667,-11.758333,TT_Crt_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
129.591667,48.633889,EI_UMa_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
156.01625,14.007222,U_Leo_1,N,ritter_kolb,,2026-06-01T01:35:02Z
118.35375,-31.647222,HS_Pup_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
235.902917,75.261389,J1543+7515,CV,ritter_kolb,,2026-06-01T01:35:02Z
83.71125,-58.028056,TW_Pic_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
117.272083,-23.566944,BV_Pup_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
33.4625,58.381389,TZ_Per_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
6.065,-72.076667,NGC_104-W2,CV,ritter_kolb,,2026-06-01T01:35:02Z
70.485833,50.71,FY_Per_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
251.041667,25.250556,AH_Her,DN,ritter_kolb,,2026-06-01T01:35:02Z
286.36125,-1.703889,V1425_Aql,N,ritter_kolb,,2026-06-01T01:35:02Z
292.871667,45.985,J1931+4559,NL,ritter_kolb,,2026-06-01T01:35:02Z
186.180417,-41.033056,J1224-4101,DN,ritter_kolb,,2026-06-01T01:35:02Z
44.034167,19.442778,XY_Ari_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
236.223333,25.896944,J1544+2553,CV,ritter_kolb,,2026-06-01T01:35:02Z
150.53125,33.85,RU_LMi_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
278.80375,38.334444,LL_Lyr_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
208.921667,-64.265833,V1039_Cen_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
298.2775,12.983611,PQ_Aql_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
227.358333,-66.823056,J1509-6649,NL,ritter_kolb,,2026-06-01T01:35:02Z
154.985833,-8.698889,RW_Sex_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
229.560417,2.093056,M_5-V101,DN,ritter_kolb,,2026-06-01T01:35:02Z
6.069583,-72.074167,NGC_104-W1,CV,ritter_kolb,,2026-06-01T01:35:02Z
65.65875,-13.358333,AH_Eri_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
265.067083,-29.060556,V3037_Oph,NL,ritter_kolb,,2026-06-01T01:35:02Z
85.834167,-41.031944,TX_Col_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
79.559583,29.686944,J0518+2941,NL,ritter_kolb,,2026-06-01T01:35:02Z
147.624167,-23.754722,AG_Hya_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
115.534167,-10.825556,J0742-1049,,ritter_kolb,,2026-06-01T01:35:02Z
266.186667,-26.058333,J1744-2603,DN,ritter_kolb,,2026-06-01T01:35:02Z
265.204167,-53.663611,NGC_6397-CV6,,ritter_kolb,,2026-06-01T01:35:02Z
