mjd,ra,dec,mag,filter,id,exposure,obscode
57890.151000108104,250.9772015610949,-21.397251301593123,19.318224,Y,134244_30009,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.97679097099515,-21.395871171189672,16.267368,Y,134244_30011,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.97614327282417,-21.396411278186175,18.478264,Y,134244_30012,c4d_170517_033821_ooi_Y_v1,W84
57890.151000108104,250.97587789364516,-21.39443149753094,15.568271,Y,134244_30016,c4d_170517_033821_ooi_Y_v1,W84
57890.15964391688,250.98516340868701,-21.394792743814357,19.611902,Y,134244_29967,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98450995920084,-21.394912293464216,20.083998,Y,134244_29973,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98628563930615,-21.39532016856474,18.004093,Y,134244_29960,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.9861695905255,-21.396130696926267,18.725239,Y,134244_29961,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98358612023665,-21.399602636069883,16.707115,Y,134244_29970,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98239670926367,-21.40023458973486,19.607553,Y,134244_29981,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98259144155767,-21.395461735077962,21.360722,Y,134244_31815,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98149117148705,-21.402308044652955,19.351713,Y,134244_29984,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.9809700277737,-21.40343043090075,19.01311,Y,134244_29988,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98040853075915,-21.3953599075206,18.553135,Y,134244_29992,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.98026307983687,-21.399330175764984,20.16813,Y,134244_29995,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.97904453171535,-21.403274267106738,19.532757,Y,134244_30002,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.9780343962805,-21.402735142230608,20.047647,Y,134244_31392,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.97719959928307,-21.403962137727238,16.150486,Y,134244_30006,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.97714625748395,-21.397279954491257,18.974302,Y,134244_30009,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.97670076420926,-21.395933844848233,16.018806,Y,134244_30011,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.9758788793083,-21.39444130960763,15.529979,Y,134244_30016,c4d_170517_035315_ooi_Y_v1,W84
57890.15964391688,250.97544867019576,-21.40151100849844,20.1414,Y,134244_31396,c4d_170517_035315_ooi_Y_v1,W84
57890.151354604866,250.98516625380498,-21.394782924073297,19.448416,Y,134244_29967,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98450393897372,-21.39492646283877,19.706388,Y,134244_29973,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98628590264502,-21.39531499045262,18.042824,Y,134244_29960,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98617008398784,-21.39613705496952,18.726467,Y,134244_29961,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.983589113358,-21.399597216504606,16.707832,Y,134244_29970,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98378479442155,-21.397986544576646,20.955706,Y,134244_31814,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98237025680305,-21.400242186178485,19.796715,Y,134244_29981,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.9825691450156,-21.395486468381105,21.536612,Y,134244_31815,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98149526614785,-21.402297503261774,19.334078,Y,134244_29984,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98097614806608,-21.403430920059613,19.06751,Y,134244_29988,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98040479876127,-21.39534935768112,18.556705,Y,134244_29992,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.980284972228,-21.399321970902832,19.94636,Y,134244_29995,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.98035877477972,-21.393299467489843,20.700048,Y,134244_31823,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97968015795684,-21.401278111956238,21.619116,Y,134244_31388,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97906346463319,-21.403278940845333,19.435379,Y,134244_30002,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.9780315307053,-21.402745355469417,20.435946,Y,134244_31392,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97720467301357,-21.40395939347174,16.151299,Y,134244_30006,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97715228728407,-21.39728132404554,18.707674,Y,134244_30009,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97588131991355,-21.39444057495693,15.526929,Y,134244_30016,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97678698872414,-21.39587612398663,16.098389,Y,134244_30011,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97613831456496,-21.396408756857568,19.203876,Y,134244_30012,c4d_170517_034119_ooi_Y_v1,W84
57890.151354604866,250.97546788981705,-21.40149832679883,20.42465,Y,134244_31396,c4d_170517_034119_ooi_Y_v1,W84
