ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.6277102799529,-26.929657649976487,56794.33150837943,21.348757,r,0.810494,0.534449,142957_94165,c4d.314617.39.7460,c4d_140517_075903_ooi_r_v1
256.62752466631105,-26.920346109467243,56794.33150837943,20.291985,r,0.95846,0.9491,142957_94819,c4d.314617.39.7465,c4d_140517_075903_ooi_r_v1
256.62699858405483,-26.920748869124676,56794.33150837943,20.789791,r,0.99823,0.89687,142957_94795,c4d.314617.39.7510,c4d_140517_075903_ooi_r_v1
256.62648514463217,-26.920472980349892,56794.33150837943,19.773108,r,0.851112,0.964959,142957_94815,c4d.314617.39.7511,c4d_140517_075903_ooi_r_v1
256.62683567820943,-26.923881090425237,56794.33150837943,20.791327,r,0.945827,0.693622,142957_94582,c4d.314617.39.7522,c4d_140517_075903_ooi_r_v1
256.6265166515365,-26.926627168589935,56794.33150837943,20.174772,r,1.229257,0.966849,142957_94398,c4d.314617.39.7540,c4d_140517_075903_ooi_r_v1
256.625590779787,-26.926617357679785,56794.33150837943,17.309107,r,0.80672,0.984492,142957_94400,c4d.314617.39.7541,c4d_140517_075903_ooi_r_v1
256.6262385673552,-26.930797141197292,56794.33150837943,20.95885,r,0.906201,0.750792,142957_94088,c4d.314617.39.7559,c4d_140517_075903_ooi_r_v1
256.62625550212744,-26.919032808257604,56794.33150837943,20.87696,r,0.917148,0.921375,142957_94912,c4d.314617.39.7570,c4d_140517_075903_ooi_r_v1
256.625979689521,-26.923493454398372,56794.33150837943,19.385878,r,0.976703,0.983032,142957_94608,c4d.314617.39.7577,c4d_140517_075903_ooi_r_v1
256.6248272716502,-26.926317243728956,56794.33150837943,20.590275,r,2.750131,0.531558,142957_94424,c4d.314617.39.7588,c4d_140517_075903_ooi_r_v1
256.62590450683444,-26.921533732332254,56794.33150837943,20.506945,r,1.910354,0.959917,142957_94745,c4d.314617.39.7589,c4d_140517_075903_ooi_r_v1
256.625480190202,-26.920949920148892,56794.33150837943,19.40182,r,1.413821,0.976554,142957_94784,c4d.314617.39.7590,c4d_140517_075903_ooi_r_v1
256.6257106492352,-26.922659153880684,56794.33150837943,20.878887,r,0.921683,0.788098,142957_94666,c4d.314617.39.7615,c4d_140517_075903_ooi_r_v1
256.62563955881814,-26.924206259157998,56794.33150837943,21.270037,r,0.879169,0.468469,142957_94557,c4d.314617.39.7622,c4d_140517_075903_ooi_r_v1
256.62518608175884,-26.928437968636338,56794.33150837943,19.99444,r,3.250273,0.592177,142957_94264,c4d.314617.39.7631,c4d_140517_075903_ooi_r_v1
256.62508499197793,-26.927833368913173,56794.33150837943,20.264723,r,2.05004,0.118163,142957_94307,c4d.314617.39.7632,c4d_140517_075903_ooi_r_v1
256.6249632906541,-26.925237920529128,56794.33150837943,19.105034,r,0.808343,0.978707,142957_94499,c4d.314617.39.7655,c4d_140517_075903_ooi_r_v1
256.6314783219848,-26.925859665548746,58602.410041208845,18.535551,z,0.959225,0.980855,142957_94456,c4d.851927.6.25752,c4d_190429_095027_ooi_z_v1
256.63198920503214,-26.92637671833759,58602.410041208845,21.280785,z,1.272854,0.613697,142957_94416,c4d.851927.6.25754,c4d_190429_095027_ooi_z_v1
