ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.62930718648505,-26.927950111539104,58249.41747174738,20.5632,z,1.804275,0.493637,142957_94303,c4d.745078.12.12689,c4d_180511_100109_ooi_z_v1
256.6291391892749,-26.919996490662495,58249.41747174738,17.73944,z,1.091027,0.979609,142957_94846,c4d.745078.12.12690,c4d_180511_100109_ooi_z_v1
256.62936015430597,-26.92066748564477,58249.41747174738,19.67836,z,1.294194,0.905949,142957_94802,c4d.745078.12.12691,c4d_180511_100109_ooi_z_v1
256.6294419804206,-26.92517398755155,58249.41747174738,19.517384,z,1.714231,0.894757,142957_94504,c4d.745078.12.12698,c4d_180511_100109_ooi_z_v1
256.62884579350333,-26.930971516378133,58249.41747174738,16.684471,z,2.19929,0.546531,142957_94074,c4d.745078.12.12705,c4d_180511_100109_ooi_z_v1
256.62897015522947,-26.92210404482799,58249.41747174738,19.568142,z,1.156587,0.878524,142957_94706,c4d.745078.12.12733,c4d_180511_100109_ooi_z_v1
256.6284125193799,-26.92342594115884,58249.41747174738,17.97079,z,1.812527,0.980158,142957_94612,c4d.745078.12.12750,c4d_180511_100109_ooi_z_v1
256.6284388998249,-26.929536923931355,58249.41747174738,20.45246,z,1.073704,0.499767,142957_94184,c4d.745078.12.12763,c4d_180511_100109_ooi_z_v1
256.6280354064857,-26.92668186570912,58249.41747174738,19.130768,z,1.245089,0.957005,142957_94392,c4d.745078.12.12774,c4d_180511_100109_ooi_z_v1
256.62797269506314,-26.928763595341955,58249.41747174738,20.074171,z,1.142456,0.761642,142957_94248,c4d.745078.12.12788,c4d_180511_100109_ooi_z_v1
256.6275376872285,-26.92567029869159,58249.41747174738,18.238068,z,1.187444,0.976921,142957_94467,c4d.745078.12.12807,c4d_180511_100109_ooi_z_v1
256.6274218653883,-26.919191136301997,58249.41747174738,18.152132,z,1.120161,0.976195,142957_94907,c4d.745078.12.12808,c4d_180511_100109_ooi_z_v1
256.6276530928901,-26.929720075994812,58249.41747174738,19.729355,z,2.307425,0.509042,142957_94165,c4d.745078.12.12830,c4d_180511_100109_ooi_z_v1
256.62747552548757,-26.92036280679221,58249.41747174738,19.888378,z,1.326196,0.792282,142957_94819,c4d.745078.12.12831,c4d_180511_100109_ooi_z_v1
256.6269916551862,-26.920758909324196,58249.41747174738,20.26925,z,1.318705,0.525843,142957_94795,c4d.745078.12.12832,c4d_180511_100109_ooi_z_v1
256.6264765002358,-26.920459920427362,58249.41747174738,19.123274,z,1.140101,0.954024,142957_94815,c4d.745078.12.12833,c4d_180511_100109_ooi_z_v1
256.6268855514164,-26.92391538639432,58249.41747174738,20.292595,z,2.029196,0.552876,142957_94582,c4d.745078.12.12875,c4d_180511_100109_ooi_z_v1
256.62688430049053,-26.929239665441866,58249.41747174738,20.515089,z,1.017152,0.529794,142957_94208,c4d.745078.12.12880,c4d_180511_100109_ooi_z_v1
256.62647835373997,-26.92664396461925,58249.41747174738,19.554466,z,1.345414,0.844923,142957_94398,c4d.745078.12.12897,c4d_180511_100109_ooi_z_v1
256.62557676230193,-26.926619775460246,58249.41747174738,16.49766,z,1.084334,0.982488,142957_94400,c4d.745078.12.12898,c4d_180511_100109_ooi_z_v1
256.62625146692716,-26.919049562963448,58249.41747174738,20.173952,z,1.223491,0.714748,142957_94912,c4d.745078.12.12914,c4d_180511_100109_ooi_z_v1
256.626242629842,-26.93080487432077,58249.41747174738,20.473751,z,1.064565,0.555065,142957_94088,c4d.745078.12.12923,c4d_180511_100109_ooi_z_v1
256.62596508626024,-26.92348191112249,58249.41747174738,18.764412,z,1.274652,0.974892,142957_94608,c4d.745078.12.12924,c4d_180511_100109_ooi_z_v1
256.6258465268235,-26.921516103542295,58249.41747174738,19.822023,z,1.771861,0.601901,142957_94745,c4d.745078.12.12952,c4d_180511_100109_ooi_z_v1
256.62548400003936,-26.920946471049135,58249.41747174738,18.803524,z,1.921475,0.902131,142957_94784,c4d.745078.12.12953,c4d_180511_100109_ooi_z_v1
256.6256779461511,-26.922661524785063,58249.41747174738,20.141384,z,1.218842,0.65538,142957_94666,c4d.745078.12.12960,c4d_180511_100109_ooi_z_v1
256.6251465886167,-26.928417628842,58249.41747174738,19.4862,z,2.832291,0.527313,142957_94264,c4d.745078.12.12991,c4d_180511_100109_ooi_z_v1
256.6250721467035,-26.92783643020003,58249.41747174738,19.093538,z,2.04755,0.395247,142957_94307,c4d.745078.12.12992,c4d_180511_100109_ooi_z_v1
256.6249354490584,-26.925247075692514,58249.41747174738,18.602528,z,1.160513,0.976743,142957_94499,c4d.745078.12.13013,c4d_180511_100109_ooi_z_v1
256.6321850188262,-26.924675366702036,56794.33150837943,19.556368,r,0.823717,0.964316,142957_94536,c4d.314617.39.7115,c4d_140517_075903_ooi_r_v1
256.632192250768,-26.920985535040277,56794.33150837943,17.668394,r,0.886965,0.983247,142957_94781,c4d.314617.39.7116,c4d_140517_075903_ooi_r_v1
256.6318681961733,-26.921767749535835,56794.33150837943,19.256897,r,0.879626,0.972431,142957_94729,c4d.314617.39.7117,c4d_140517_075903_ooi_r_v1
256.6320104947878,-26.930357058305056,56794.33150837943,20.263683,r,0.893057,0.953945,142957_94124,c4d.314617.39.7167,c4d_140517_075903_ooi_r_v1
256.63048696734757,-26.926256696869984,56794.33150837943,20.483332,r,2.564511,0.192879,142957_94427,c4d.314617.39.7187,c4d_140517_075903_ooi_r_v1
256.63154908987303,-26.927203876218226,56794.33150837943,20.237783,r,1.891084,0.402281,142957_94363,c4d.314617.39.7188,c4d_140517_075903_ooi_r_v1
256.6309952099467,-26.926794031273612,56794.33150837943,18.292088,r,0.807792,0.987039,142957_94389,c4d.314617.39.7189,c4d_140517_075903_ooi_r_v1
256.6314747969723,-26.925839324801032,56794.33150837943,19.21274,r,0.820768,0.973738,142957_94456,c4d.314617.39.7190,c4d_140517_075903_ooi_r_v1
256.63154704550726,-26.91982000126532,56794.33150837943,20.266659,r,1.045969,0.928597,142957_94862,c4d.314617.39.7200,c4d_140517_075903_ooi_r_v1
256.6309213260243,-26.92043224353482,56794.33150837943,20.047377,r,0.945129,0.961896,142957_94816,c4d.314617.39.7246,c4d_140517_075903_ooi_r_v1
256.63081437463825,-26.929568399041127,56794.33150837943,20.52,r,0.790147,0.958975,142957_94180,c4d.314617.39.7249,c4d_140517_075903_ooi_r_v1
256.6307428100278,-26.925153676312597,56794.33150837943,19.587845,r,1.887934,0.976378,142957_94503,c4d.314617.39.7250,c4d_140517_075903_ooi_r_v1
256.63020633704974,-26.923785245721273,56794.33150837943,20.35578,r,1.059276,0.948933,142957_94590,c4d.314617.39.7297,c4d_140517_075903_ooi_r_v1
256.6302600174213,-26.921766709859472,56794.33150837943,21.450504,r,0.675793,0.519777,142957_94727,c4d.314617.39.7298,c4d_140517_075903_ooi_r_v1
256.6299205555509,-26.92877581766193,56794.33150837943,20.432076,r,0.866211,0.957555,142957_94244,c4d.314617.39.7312,c4d_140517_075903_ooi_r_v1
256.6297274040264,-26.92932420609367,56794.33150837943,20.89765,r,0.934283,0.793888,142957_94203,c4d.314617.39.7327,c4d_140517_075903_ooi_r_v1
256.62980002232877,-26.92802778705053,56794.33150837943,21.307276,r,1.121079,0.571778,142957_94299,c4d.314617.39.7328,c4d_140517_075903_ooi_r_v1
256.62932815880697,-26.927930294151956,56794.33150837943,21.165367,r,0.896229,0.767491,142957_94303,c4d.314617.39.7329,c4d_140517_075903_ooi_r_v1
256.6293885115956,-26.92068896595607,56794.33150837943,20.13605,r,0.989137,0.955232,142957_94802,c4d.314617.39.7334,c4d_140517_075903_ooi_r_v1
256.6294578317976,-26.92518162092545,56794.33150837943,20.058256,r,1.367141,0.395348,142957_94504,c4d.314617.39.7343,c4d_140517_075903_ooi_r_v1
256.628867102612,-26.93095486841385,56794.33150837943,17.413736,r,2.196902,0.544931,142957_94074,c4d.314617.39.7362,c4d_140517_075903_ooi_r_v1
256.6289590449993,-26.922111017831675,56794.33150837943,20.624903,r,0.875862,0.922635,142957_94706,c4d.314617.39.7376,c4d_140517_075903_ooi_r_v1
256.62842684767,-26.92342212063156,56794.33150837943,18.44391,r,1.723935,0.975502,142957_94612,c4d.314617.39.7390,c4d_140517_075903_ooi_r_v1
256.6284966785275,-26.929523774209816,56794.33150837943,21.07749,r,0.913811,0.737437,142957_94184,c4d.314617.39.7396,c4d_140517_075903_ooi_r_v1
256.6280541920911,-26.926676046169398,56794.33150837943,19.675016,r,0.872789,0.978042,142957_94392,c4d.314617.39.7414,c4d_140517_075903_ooi_r_v1
256.62799876793935,-26.92873905619506,56794.33150837943,20.536697,r,0.866393,0.959891,142957_94248,c4d.314617.39.7427,c4d_140517_075903_ooi_r_v1
256.6274319394678,-26.919203362219733,56794.33150837943,18.449781,r,0.840449,0.979984,142957_94907,c4d.314617.39.7444,c4d_140517_075903_ooi_r_v1
256.62755092323084,-26.925660278407314,56794.33150837943,18.825237,r,0.847032,0.981608,142957_94467,c4d.314617.39.7458,c4d_140517_075903_ooi_r_v1
