# Subset of vw_below_ms.csv with |b|>10 deg, -0.5<G-W1 excess<1.8, w1_amp>0.15, W1<15.5 (226 rows): input to vw_pipeline.py.
designation,ra,dec,vartype,confidence,variability_snr,period1,period2,period_significance,suspect_period,w1_amp,w2_amp,n_obs,w1mag,w2mag,w3mag,jmag,hmag,kmag,gmag,bpmag,rpmag,plx,e_plx,simbad_type,known_extragalactic,blended_source,latent_artifact,cat,bprp,MG,d_ridge,env,gw1_exc,b
VarWISE J155636.75-375052.4,239.15316,-37.8479,agn,0.9986,7.048,388.5,675.0,7.338,1,0.206,0.202,254,13.553,12.743,9.36,14.89,14.16,13.94,17.68,18.61,16.55,6.844,0.1842,,0,0.04,0.09,varwisepure,2.0599999999999987,11.856550004345312,3.1902549918313863,10.795218620546583,1.0770000000000008,11.877048787679346
VarWISE J122637.83-230414.1,186.65763,-23.0706,ew,0.8049,6.794,0.23915,0.318725,28.298,0,0.373,0.372,260,14.673,13.867,12.43,16.6,16.0,15.52,19.54,20.74,18.46,3.9585,0.3835,,0,0.05,0.06,varwisepure,2.2799999999999976,12.527653246378652,3.155197995470889,10.83036888851277,1.450333333333336,39.444686111935205
VarWISE J030308.35+005442.8,45.7848,0.9119,yso,0.7436,10.634,0.131875,4.858525,6.86,0,0.222,0.258,280,12.723,12.339,10.73,14.46,13.7,13.34,17.36,18.37,16.26,8.2983,0.102,,0,0.04,0.38,varwisepure,2.109999999999999,11.95494565691732,3.1361203071685875,10.749511142252876,1.5036666666666658,-47.70470427422209
VarWISE J112222.55-462559.8,170.59398,-46.4333,ew,0.8083,4.02,1.458575,3.88775,7.897,0,0.252,0.645,300,14.838,14.928,12.96,15.77,15.35,14.86,18.45,19.01,17.14,3.6181,0.4512,,0,0.09,0.04,varwiseext,1.870000000000001,11.242402830374662,3.1288309088998787,10.06507389680394,0.8569999999999984,13.724315297608776
VarWISE J191108.76-595721.2,287.78652,-59.9559,unclear,0.369,6.245,2.5327,1.419325,6.679,0,0.192,0.287,245,13.343,13.6,12.61,14.79,14.17,13.84,17.93,18.4,16.34,5.8633,0.194,,0,0.05,0.23,varwiseext,2.0599999999999987,11.770710578728323,3.1044155662143975,10.795218620546583,1.5370000000000017,-25.65734767607985
VarWISE J151208.47-422011.7,228.0353,-42.3366,cv,0.5691,4.731,0.1953,690.0,5.668,0,0.167,0.292,230,14.044,13.908,12.36,15.34,14.86,14.38,19.72,21.27,18.19,11.0086,0.433,,0,0.04,0.27,varwiseext,3.0799999999999983,14.928660459102858,3.0757030416785973,12.594888713707752,1.056000000000001,13.335057672530374
VarWISE J051259.43-691608.7,78.24765,-69.2691,ew,0.8986,5.26,0.3102,0.394525,6.785,0,0.248,0.459,973,14.182,14.287,12.73,15.31,14.94,14.65,18.44,18.71,16.76,3.9158,0.2942,,0,0.1,0.07,varwiseext,1.9499999999999993,11.404102510248826,3.0716211754110674,9.951320503905198,1.3830000000000018,-33.8943647936139
VarWISE J155551.04-691037.5,238.96269,-69.1771,ew,0.8139,3.841,2.734125,4.4114,5.903,0,0.156,0.34,326,14.076,14.147,12.82,15.06,14.42,14.26,17.66,18.21,16.26,5.5904,0.7685,,0,0.04,0.16,varwiseext,1.9499999999999993,11.397214416514185,3.064733081676426,9.951320503905198,0.7090000000000005,-11.937201055194514
VarWISE J190203.84-444414.9,285.516,-44.7375,yso,0.8975,4.123,4.0964,0.97965,6.853,0,0.174,0.29,271,14.307,14.019,12.72,15.99,15.19,14.85,19.94,21.45,18.42,9.225,0.7069,,0,0.05,0.03,varwiseext,3.0299999999999976,14.76483187415549,3.05120806424193,12.4974761261688,1.0880000000000043,-20.502596873555223
VarWISE J164919.48-290048.2,252.33117,-29.0134,ea,0.8414,4.79,2.54735,0.545425,7.752,0,0.183,0.548,215,14.258,14.445,12.27,15.26,14.58,14.39,17.66,18.15,16.46,3.969,0.5052,,0,0.04,0.14,varwiseext,1.6899999999999975,10.653405494535818,3.0225633234537463,10.00129331112214,0.8757500000000036,10.031516713833755
VarWISE J204954.62-283731.7,312.47762,-28.6255,ew,0.5653,9.699,173.0,345.5,6.865,1,0.267,0.323,259,13.431,13.042,11.38,15.23,14.7,14.08,18.42,19.61,17.27,6.8098,0.2228,,0,0.04,0.08,varwiseext,2.34,12.585671785575771,3.0162736193807973,10.853950296547346,1.4790000000000023,-37.19565114511258
VarWISE J013832.44+473217.8,24.63517,47.5383,cv,,4.357,,,,0,0.161,0.296,257,14.135,14.024,,,,,17.4,18.37,16.4,6.3056,0.0973,,0,0.17,0.03,varwiseext,1.9700000000000024,11.398632087607638,3.005489230724029,10.121928426365248,0.359999999999995,-14.583524682722613
VarWISE J052323.67-031811.1,80.84865,-3.3031,agn,0.9999,5.685,279.5,697.0,6.737,0,0.402,0.43,281,14.978,14.191,9.86,17.01,15.96,15.74,19.4,20.31,18.3,2.6081,0.4104,,1,0.05,0.07,varwisepure,2.009999999999998,11.481621195682065,2.967155294706785,10.46314427128526,1.4553333333333351,-21.055377355539182
VarWISE J174456.66-074446.6,266.2361,-7.7463,ew,0.5221,4.386,2.64165,1.7526,6.765,0,0.327,1.136,208,15.035,15.4,12.4,16.19,15.34,15.21,19.11,19.45,17.48,2.7979,0.4665,,0,0.06,0.07,varwiseext,1.9699999999999989,11.344160941371808,2.9510180844882097,10.121928426365216,1.1700000000000008,11.000826803530398
