# VarWISE J075330.99-004209.7 = Gaia DR3 3082614748370926848; NEOWISE-R single exposures, clean cuts as lane M; mjd (UTC), Vega mags
mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro
60031.673045,15.538000,0.158000,14.379000,0.233000
57319.296855,14.420000,0.075000,13.875000,0.166000
57319.362435,15.552000,0.163000,15.105000,0.388000
57319.231149,14.289000,0.083000,14.257000,0.187000
57319.559172,15.434000,0.175000,14.856000,0.352000
57319.296728,14.145000,0.076000,13.815000,0.124000
57319.428014,14.745000,0.080000,14.254000,0.203000
57319.690330,15.667000,0.176000,14.737000,nan
58414.511996,15.592000,0.168000,14.699000,nan
58414.773802,14.869000,0.094000,14.422000,0.209000
58414.642899,15.900000,0.208000,15.096000,nan
58415.166385,15.625000,0.183000,14.663000,nan
58414.839127,15.493000,0.172000,15.012000,nan
58414.184864,14.718000,0.084000,14.293000,0.186000
58414.708351,14.454000,0.069000,14.393000,0.208000
58414.904578,14.680000,0.088000,14.210000,0.315000
58414.315640,15.216000,0.158000,14.897000,nan
58415.035482,15.235000,0.179000,14.463000,0.221000
58414.577447,14.694000,0.122000,14.422000,0.230000
57124.660798,15.811000,0.210000,15.020000,0.488000
57124.989076,14.396000,0.084000,14.197000,0.232000
57124.726505,14.563000,0.077000,14.052000,0.142000
57125.382933,15.356000,0.129000,15.143000,0.381000
57124.857790,15.694000,0.186000,14.749000,0.402000
57124.792084,14.302000,0.062000,14.170000,0.163000
57124.529513,15.396000,0.148000,14.585000,0.246000
57125.120362,15.303000,0.204000,14.600000,nan
57124.923369,14.533000,0.077000,14.594000,0.273000
57125.251647,14.554000,0.074000,14.239000,0.184000
60398.667302,14.605000,0.073000,13.849000,0.161000
60398.538309,15.487000,0.149000,14.632000,nan
60398.410206,14.495000,0.069000,13.898000,0.138000
60398.281595,14.638000,0.077000,14.424000,0.252000
60399.245417,14.582000,0.098000,14.009000,0.148000
60398.859710,15.469000,0.225000,14.951000,0.339000
60398.731099,14.820000,0.103000,14.196000,0.221000
60398.988194,14.501000,0.101000,14.028000,0.167000
60398.602614,14.682000,0.099000,13.927000,0.173000
60398.795914,14.317000,0.060000,13.894000,0.125000
60398.988322,14.449000,0.068000,13.926000,0.141000
57484.140836,15.527000,0.176000,15.055000,0.359000
57483.944225,15.592000,0.171000,14.944000,0.311000
57483.813194,14.672000,0.077000,14.087000,0.179000
57483.878773,14.505000,0.070000,13.839000,0.130000
57483.551004,14.383000,0.078000,13.763000,0.125000
57483.288942,14.890000,0.098000,14.285000,0.228000
57483.419973,15.157000,0.119000,15.352000,0.434000
57484.009804,14.616000,0.084000,14.247000,0.171000
57483.747615,14.955000,0.093000,14.406000,0.199000
57483.682163,14.486000,0.081000,14.443000,0.239000
57484.271867,15.126000,0.142000,14.275000,0.183000
58207.753103,14.673000,0.081000,13.886000,0.168000
58207.295068,14.476000,0.076000,14.036000,0.152000
58207.884007,15.088000,0.104000,14.305000,0.209000
58207.556748,14.776000,0.126000,14.559000,0.252000
58207.622200,14.414000,0.069000,13.800000,0.124000
58208.276714,14.816000,0.085000,14.349000,0.186000
58208.145811,14.427000,0.064000,14.012000,0.144000
58207.425844,15.804000,0.233000,15.272000,nan
58208.014907,15.806000,0.182000,15.087000,0.400000
58207.294940,14.502000,0.112000,14.167000,0.191000
58207.818555,14.741000,0.081000,14.507000,0.207000
58207.687651,15.295000,0.131000,15.280000,0.476000
57124.398227,14.971000,0.125000,14.550000,0.318000
57124.266942,14.478000,0.067000,14.001000,0.140000
58050.633921,14.488000,0.081000,14.063000,0.147000
58050.568469,14.484000,0.076000,14.085000,0.169000
58050.503018,15.930000,0.211000,14.355000,nan
58050.895855,14.971000,0.098000,14.598000,0.308000
58050.764952,14.526000,0.070000,14.249000,0.234000
60241.829966,14.237000,0.062000,13.547000,0.133000
60241.312464,14.415000,0.072000,13.722000,0.186000
60241.506527,14.355000,0.065000,14.174000,0.198000
60241.571215,14.458000,0.072000,13.984000,0.193000
60241.247777,14.954000,0.096000,14.390000,0.418000
60241.118401,15.311000,0.143000,15.414000,0.541000
60240.989026,14.362000,0.064000,14.296000,0.253000
60241.700590,14.187000,0.056000,13.472000,0.171000
58936.311240,14.887000,0.093000,14.600000,0.313000
58936.179954,15.701000,0.160000,15.180000,nan
58935.853460,15.041000,0.178000,14.734000,0.284000
58936.049688,14.480000,0.074000,13.977000,0.128000
58936.115012,14.512000,0.069000,14.729000,0.328000
58936.245788,14.505000,0.071000,13.980000,0.175000
58935.722684,14.608000,0.084000,13.917000,0.131000
58935.722556,14.499000,0.076000,14.279000,0.184000
58935.984236,16.153000,0.244000,15.301000,nan
58936.049560,14.599000,0.083000,14.189000,0.206000
60031.477460,14.243000,0.066000,13.724000,0.112000
60031.022990,15.226000,0.110000,14.995000,0.315000
60031.153003,14.442000,0.067000,13.837000,0.149000
60031.283015,14.325000,0.061000,14.016000,0.209000
60031.413027,14.552000,0.082000,14.189000,0.216000
58781.855841,14.672000,0.094000,14.491000,0.253000
58781.659613,14.689000,0.093000,14.279000,0.181000
58781.659741,14.724000,0.086000,14.047000,0.181000
58781.921292,15.590000,0.249000,15.328000,0.476000
58781.790516,14.614000,0.086000,14.194000,0.193000
58781.594289,14.749000,0.088000,14.628000,0.355000
58782.182462,14.644000,0.155000,14.384000,0.277000
58781.855968,14.641000,0.079000,14.673000,0.344000
58781.725065,15.905000,0.244000,15.065000,nan
58782.052196,15.178000,0.165000,14.701000,0.292000
59515.920160,14.914000,0.115000,14.018000,nan
57318.968832,14.253000,0.063000,13.946000,0.145000
57318.706515,14.371000,0.063000,14.134000,0.183000
57318.837674,16.005000,0.254000,15.230000,nan
57319.165570,15.400000,0.137000,14.476000,0.216000
57319.099991,14.407000,0.075000,14.051000,0.220000
58571.505585,15.535000,0.159000,14.568000,nan
58571.374682,14.679000,0.087000,14.121000,0.205000
58571.767265,14.538000,0.075000,14.258000,0.179000
58571.963493,14.813000,0.114000,14.031000,0.147000
58571.636361,15.447000,0.144000,14.476000,0.261000
58572.094269,14.726000,0.085000,13.915000,0.138000
58572.028944,15.315000,0.117000,14.632000,0.236000
58572.486852,14.523000,0.067000,14.380000,0.210000
58571.898041,14.711000,0.078000,14.313000,0.180000
58572.224663,14.597000,0.070000,14.250000,0.208000
58572.355948,15.523000,0.147000,15.186000,0.383000
58571.832589,15.837000,0.199000,14.878000,nan
58571.505458,15.297000,0.140000,14.387000,0.215000
58936.572282,14.595000,0.070000,14.186000,0.182000
58936.703568,15.500000,0.140000,14.724000,nan
59303.272800,15.462000,0.205000,15.058000,nan
59302.815274,14.570000,0.073000,13.956000,0.156000
59302.946050,15.448000,0.125000,15.087000,0.328000
59303.142151,14.462000,0.069000,14.126000,0.196000
59303.207475,14.373000,0.067000,14.408000,0.184000
59302.684498,14.422000,0.063000,13.811000,0.113000
59303.338251,14.532000,0.104000,14.264000,0.205000
59303.403576,14.711000,0.078000,14.434000,0.231000
59303.076699,16.223000,0.307000,14.467000,nan
59303.665000,14.432000,0.063000,14.311000,0.196000
59303.534352,16.115000,0.225000,14.956000,nan
59877.796885,14.337000,0.062000,13.911000,0.138000
57686.035082,16.267000,0.304000,14.796000,nan
57686.362597,15.405000,0.155000,14.749000,0.280000
57685.707568,15.616000,0.179000,15.405000,nan
57686.166113,14.264000,0.061000,13.914000,0.145000
57686.428176,14.589000,0.088000,14.307000,0.276000
57686.297145,14.526000,0.076000,14.092000,0.205000
57685.838599,14.937000,0.099000,14.663000,0.279000
57686.100661,14.767000,0.092000,14.337000,0.283000
57686.690111,14.456000,0.072000,13.889000,0.153000
57685.969630,14.464000,0.072000,13.886000,0.143000
57686.690238,14.485000,0.073000,13.716000,0.123000
57686.231693,15.781000,0.187000,14.961000,0.514000
57686.559207,15.969000,0.207000,14.349000,0.312000
57844.361409,14.460000,0.076000,14.109000,0.177000
57844.819702,15.771000,0.194000,15.385000,0.449000
57844.295830,15.448000,0.167000,14.782000,nan
57844.688798,14.657000,0.077000,14.190000,0.169000
57844.426861,14.193000,0.072000,13.758000,0.188000
57844.164926,14.919000,0.088000,14.323000,0.182000
57844.557766,14.553000,0.092000,14.016000,0.148000
57843.968442,15.672000,0.181000,14.964000,nan
57843.837538,14.490000,0.069000,14.041000,0.155000
57844.099474,14.581000,0.085000,13.875000,0.128000
57844.230378,16.446000,0.327000,14.677000,nan
58781.201324,15.395000,0.229000,14.977000,0.373000
58781.332609,14.633000,0.078000,14.884000,0.404000
57682.825390,14.523000,0.093000,14.075000,0.240000
57682.956421,14.830000,0.100000,14.203000,0.278000
57683.218356,14.307000,0.081000,13.751000,0.168000
57683.349387,14.409000,0.083000,14.431000,0.338000
57683.152904,14.596000,0.081000,14.254000,0.238000
57683.283935,15.536000,0.158000,15.012000,0.536000
57683.087325,15.703000,0.193000,15.134000,nan
58422.561280,14.722000,0.088000,14.043000,0.228000
58942.196676,15.978000,0.242000,14.407000,nan
56957.691214,14.512000,0.068000,14.199000,0.200000
56957.822754,14.509000,0.068000,14.142000,0.172000
56957.559674,15.016000,0.128000,14.696000,0.377000
59667.306769,15.350000,0.139000,15.187000,0.390000
59667.371966,14.315000,0.063000,14.224000,0.234000
59667.436781,14.401000,0.063000,14.078000,0.173000
59667.894434,14.484000,0.069000,13.914000,0.120000
59667.502106,15.087000,0.128000,14.245000,0.231000
59666.914950,14.362000,0.069000,13.842000,0.141000
59667.045599,14.393000,0.062000,14.049000,0.137000
59667.176120,14.475000,0.076000,14.150000,0.218000
59667.045472,14.400000,0.066000,14.161000,0.191000
59667.241445,14.143000,0.054000,13.956000,0.128000
59667.763785,14.200000,0.055000,13.905000,0.139000
59667.633264,15.742000,0.163000,14.802000,nan
