# eRASS:3 (Ramos-Ceja+2026, J/A+A/712/A171/dr2mg) Gaia counterparts with matchflag=1, 0.05<=pany<0.5, parallax>2 mas at >5 sigma, M_G>4.5, below the main sequence or on the WD side, separation <3in (243 rows); 'known' = VSX/SIMBAD/Downes/Ritter-Kolb/Gentile Fusillo+2021 matches.
GaiaDR3,IAUName,RAGdeg,DEGdeg,Plx,e_Plx,pmRA,pmDE,RUWE,Gmag,BPmag,RPmag,pany,pi,SepGDR3ERO,MLFlux1,DetLike0,Pstar,PQSO,UIdDR1,bprp,MG,d_ridge,env,known
3164707585035711616,3eRASS J074309.4+142826,115.79013865909,14.47393782018,6.30943,0.397883,-15.90476,-50.83179,1.116973,19.47282,19.56101,19.41468,0.2201,1.0,2.38311,3.30535e-14,12.4376,5.9e-05,0.010141,111507500232,0.1463299999999989,13.472770632166624,1.1428463970229252,13.432642703557391,SIMBAD:GALEX J074309.7+142827 [WhiteDwarf_Candidate]; GF21:WDJ074309.65+142827.00
3168229256355199104,3eRASS J071807.4+162719,109.53045229497,16.45536232635,11.41858,0.30058,66.59256,2.84753,1.080629,18.88806,21.10029,17.43921,0.348588,0.995791,1.661006,3.04671e-14,12.4114,0.999992,0.0,0,3.661080000000002,14.176120494808073,1.0633447556812283,13.467805372159248,SIMBAD:2MASS J07180722+1627193 [Low-Mass*]
3212759060668412416,3eRASS J050348.5-043717,75.952732235,-4.62229059663,2.30686,0.366756,2.46664,-8.79676,1.013094,19.54838,20.85169,18.35758,0.429427,0.973675,2.727065,2.24888e-14,8.26221,0.999971,0.0,0,2.4941100000000027,11.363486193081416,1.3150056274626394,11.339645535807874,
3251892947243253248,3eRASS J040536.6-035201,61.40235970908,-3.86768831991,3.70635,0.639009,7.02806,0.32439,1.001471,20.25741,20.75811,18.75402,0.296051,1.0,1.939978,2.50688e-14,11.6398,0.999996,0.0,0,2.004089999999998,13.102142142226082,4.605601721015349,10.412729630198324,
3318503869921027328,3eRASS J060622.4+052044,91.59337387093,5.34560148035,5.06824,0.557083,-13.66059,-10.85569,1.083163,19.76595,21.17322,18.33936,0.122644,0.833675,1.343108,2.23855e-14,8.33279,0.999986,0.0,0,2.833860000000002,13.29023586078054,2.183622522795753,12.115925687288106,
3321189117828516352,3eRASS J054743.1+061057,86.92922265265,6.18220528377,3.26911,0.600458,0.38476,-20.26705,0.962351,20.11997,21.22228,18.65123,0.128686,0.93692,2.180636,1.31839e-14,7.36477,0.999992,0.0,108608400129,2.5710499999999996,12.692117670490203,2.383109710473498,11.481014766513525,
3322050756992321664,3eRASS J060512.0+063551,91.30011804615,6.59729647937,5.03162,0.261484,18.80022,1.9774,0.970864,18.9292,20.54158,17.60615,0.229272,0.52383,1.566721,2.23419e-14,7.25303,0.999942,0.0,0,2.93543,12.437739173578386,1.0052144847680378,12.298567657687352,
3332730794465089280,3eRASS J053823.5+052956,84.59757130858,5.49900786529,4.57994,0.267077,12.41994,-5.80782,1.026416,18.95619,19.92867,17.49219,0.277185,0.641958,2.254992,8.39837e-14,72.6844,0.999981,0.0,108608400050,2.4364799999999995,12.2604889425962,2.4088245804062307,11.21759843826487,
3333189226388013440,3eRASS J053543.9+064715,83.93277102591,6.78826152392,6.40655,0.486453,41.86384,-74.15147,1.119784,19.7849,21.36212,18.30901,0.192617,0.999999,2.281962,1.24834e-14,6.68815,0.999998,0.0,0,3.05311,13.818021099762374,2.03758334918804,12.54631338666585,SIMBAD:2MASS J05354381+0647190 [Low-Mass*]
3334824986159293824,3eRASS J053921.9+090133,84.84187849804,9.0256941319,2.94032,0.41086,-16.03094,-16.3895,1.036259,19.6411,20.96826,18.40244,0.24694,0.62049,2.109227,2.923e-14,11.5549,0.999984,0.0,108608100237,2.565820000000002,11.983072989937549,1.68911179194121,11.46660827439833,
3366741128654217472,3eRASS J070354.5+202121,105.97762461904,20.35521968199,2.08535,0.355834,5.16535,-5.44029,1.016798,19.46593,20.53018,18.1836,0.186817,0.61898,2.860494,2.19799e-14,6.9369,0.999968,0.0,0,2.346580000000003,11.061824781709657,1.4708285424715069,10.856536390961804,
3377068158472469248,3eRASS J061528.1+222752,93.86708353954,22.46424787917,5.72013,0.950816,4.38718,0.12154,1.134214,19.89297,20.49537,17.98754,0.224822,0.827817,1.758873,7.04095e-14,8.59888,0.999939,0.0,109406900120,2.507830000000002,13.679999495049984,3.5824307541490334,11.360115109540352,
3392066935889537024,3eRASS J050751.3+141119,76.96327763698,14.18886756861,2.62125,0.355682,-7.05395,-7.79262,1.010926,19.4203,20.49013,18.18743,0.185412,0.560568,2.831609,1.66153e-14,6.81678,0.999965,0.0,0,2.3027000000000015,11.512842217367002,2.065876896842232,10.839290521219183,
3400336882533813248,3eRASS J052634.8+175154,81.64533834444,17.86442046603,3.08398,0.161434,-0.18088,-6.04546,0.898614,18.22074,18.24772,16.5479,0.203505,0.85879,2.571861,5.17292e-14,35.7736,0.999926,0.0,0,1.6998200000000026,10.666297764667291,3.008577093173405,9.95138209575573,
3402351217901366528,3eRASS J052515.5+210240,81.31481245457,21.04455376972,47.10979,0.163158,244.29906,51.60583,1.050003,17.78301,20.76176,16.20326,0.379748,0.999975,0.923692,4.90578e-14,25.8542,0.999999,0.0,108106900023,4.558499999999999,16.148565841500606,2.380560211128463,14.062478233189593,
3430572760808940288,3eRASS J060325.8+280410,90.85829423046,28.06955490773,3.9265,0.153578,2.35303,-10.36462,1.125508,17.85006,18.89833,16.775,0.267765,0.432528,2.061176,5.96803e-14,33.2257,0.99885,0.0,109206300176,2.123330000000003,10.820088008941706,1.9605980712861637,10.73732552853977,
3458892538206877056,3eRASS J115851.6-403846,179.71576458402,-40.64574875808,4.96089,0.560461,-34.60357,-0.53368,1.090828,20.0767,21.32331,18.6588,0.154081,0.96986,2.646786,1.55827e-14,6.99528,0.99999,0.0,0,2.66451,13.554497986700133,2.9717839176666327,11.73643633928318,
3469815808271740928,3eRASS J121828.3-313437,184.61762058893,-31.57726730614,2.35419,0.270703,1.26118,-12.63191,0.995708,19.18808,20.40439,18.0474,0.471983,0.9994,2.078443,3.43329e-14,17.0854,0.999915,0.0,0,2.3569899999999997,11.047287552990898,1.4249036548420817,10.886955787582464,
