# VarWISE J105943.85-274050.1 = Gaia DR3 5456743064671253632; NEOWISE-R W1 forced PSF photometry (2-source fixed-position fit), flux in mJy; phase at P = 0.12097159 d
# mjd_utc,bjd_tdb,f_mjy,e_mjy,phase
60298.1184702,2460298.6192571,0.1601854,0.0309729,0.6261940
60457.7067936,2460458.2094780,0.2242719,0.0305025,0.8633880
60457.7708446,2460458.2735240,0.2097296,0.0287181,0.3928181
60457.3226147,2460457.8253289,0.2681487,0.0283326,0.6878566
60298.7647107,2460299.2655534,0.2604935,0.0297840,0.9687405
60298.5710296,2460299.0718556,0.1907762,0.0250262,0.3675562
60457.5786917,2460458.0813861,0.2016028,0.0432021,0.8045285
60457.4505893,2460457.9532936,0.1796104,0.0291900,0.7456643
60458.2829975,2460458.7856371,0.1635449,0.0295028,0.6261515
60299.2166341,2460299.7175158,0.1799189,0.0358322,0.7048439
60458.4110994,2460458.9137290,0.2146152,0.0250741,0.6850109
60298.5059599,2460299.0067803,0.3341705,0.0296885,0.8296171
60298.8292712,2460299.3301194,0.2245988,0.0279209,0.5024691
60298.6355900,2460299.1364215,0.2742652,0.0373920,0.9012841
60298.7001503,2460299.2009875,0.1992336,0.0254909,0.4350123
