night,band,n,flux,err,snr
57969.5,o,8,-5.102272939148949,6.598744708067513,-0.7732187203591915
57970.5,o,4,-42.30478903329179,15.851276029190998,-2.66885700276654
57976.5,o,5,-6.789537306039889,9.85590479359757,-0.6888801635391604
57977.5,o,3,-4.88235294117647,8.731282501307987,-0.5591793577226565
57978.5,o,3,-11.347107438016529,7.636363636363637,-1.4859307359307359
57979.5,o,2,0.7482758620689657,8.39724913906026,0.08910964170258089
57980.5,c,4,-2.1845811712379537,4.90079493105597,-0.44576057598215885
57980.5,o,2,-9.000000000000002,9.192388155425117,-0.9790709277967583
57982.5,o,4,-1.223653478660911,6.562040253149548,-0.1864745462470457
57985.5,c,2,12.000392426174825,26.901639806367918,0.44608404961745857
57986.5,o,4,0.3743170672508933,7.3422181625288,0.05098146894643231
57987.5,o,4,-2.937330569287195,7.955585528037797,-0.36921613864060515
57990.5,o,4,-2.3376777251184837,6.712176810509764,-0.348274157715602
57992.5,o,4,-1.5486568015011521,4.824907467804163,-0.3209712956849622
57996.5,o,4,-13.397834798606633,6.680324900490494,-2.005566345676228
57998.5,o,2,-57.45308310991957,42.977243183287,-1.3368256978442474
58006.5,o,4,-0.5063801208865005,8.81112917358685,-0.05747051381387958
58010.5,o,8,-2.6171047469595923,4.044101781521045,-0.6471411671481873
58012.5,c,4,-0.5724137931034483,4.227985580505865,-0.13538688394366777
58014.5,o,4,-8.071916920578053,7.948665191781512,-1.0155059655706693
58016.5,c,4,2.8918638573743918,4.0580551984315125,0.7126230955389992
58018.5,o,4,4.91318497711666,9.843155740087097,0.4991473371804219
58020.5,c,4,3.253671177656205,4.31951624126995,0.7532489741720746
58022.5,o,4,12.110586908464978,7.6904350096782075,1.5747596713611294
58026.5,o,4,11.275887533504733,16.568004382361142,0.6805821192025652
58032.5,o,4,-7.574649603900061,10.36800027083756,-0.7305796109212636
58036.5,o,4,2.226244343891403,5.232166435699434,0.42549188204365657
58038.5,o,2,-12.876106194690268,10.53607372589629,-1.2220971995519054
58042.5,o,4,8.186310108760274,10.513606535226508,0.7786395735213717
58046.5,o,4,0.59009769462818,8.048953534726053,0.07331359189518094
58048.5,c,4,-4.772357723577235,5.445131875884573,-0.8764448377665703
58052.5,o,4,-6.3028286189683875,6.363372728294433,-0.9904855315080258
58058.5,o,4,20.010136275328534,22.23484888000089,0.8999447841233871
58062.5,o,4,-26.89498555560387,11.64576571452493,-2.3094218289193025
58066.5,o,4,8.742653606411398,8.116691244508571,1.0771203860102883
58070.5,o,4,2.049507343596233,8.01800152394349,0.25561323946820913
58072.5,c,4,0.4273168642010567,5.576823175682441,0.07662370685596742
58074.5,o,4,4.128440366972477,8.238642446289203,0.5011068745715482
58078.5,o,4,10.730088495575222,7.450129178662681,1.4402553617870695
58090.5,o,4,-4.896708363441691,12.518330844993244,-0.39116304114938366
58094.5,o,4,5.388059701492537,9.117568972367847,0.5909535445053232
58096.5,o,4,-10.129310344827587,5.937751809542408,-1.7059167627297984
58098.5,o,4,-3.129879592567865,8.28145346900227,-0.37793843849791564
58102.5,o,4,10.120687011194603,8.916109558607662,1.135101239466493
58112.5,o,4,-3.420836776083527,9.90102662609197,-0.3455032397416918
58118.5,o,4,7.218973318671457,24.70901175995077,0.2921595322712267
58269.5,o,3,16.97186619953906,17.035216348050433,0.9962812243051659
58293.5,o,4,-3.766278473870575,5.600184676005654,-0.6725275489587752
58294.5,o,4,-3.976744987252808,5.81087588139026,-0.684362403951634
58295.5,o,4,15.157596449442963,9.729310080644078,1.557931274037422
58296.5,o,3,-3.456924151944092,20.925399688490046,-0.16520229976039896
58306.5,o,3,-2.008143322475569,8.23276998516687,-0.24392073701727085
58310.5,c,2,-13.600000000000001,11.627553482998907,-1.1696355574614286
58312.5,o,4,-11.488468181829258,6.386947220348419,-1.798741681350945
58316.5,o,4,8.998947948499573,7.287108397722674,1.2349134193354216
58322.5,o,4,-3.5495495495495497,4.69833207897487,-0.755491414800979
58324.5,o,6,-7.488030317392975,9.951890515673098,-0.7524228995084077
58330.5,o,2,89.44961031980651,40.32827035652457,2.2180373601203747
58333.5,c,4,-5.909741264337156,7.146239826998344,-0.82697214302972
58336.5,o,4,-5.182387010544033,6.299305001569371,-0.8226918698575357
58338.5,c,4,-3.512820512820513,4.3576382352153775,-0.8061294497630299
58340.5,o,4,-5.788008784993797,8.543183342508442,-0.6775002423504499
58342.5,c,4,-2.515992126952885,3.952728424803054,-0.6365203617747265
58344.5,o,4,0.9128624329146737,12.899224859756051,0.07076878206555566
58348.5,o,3,-17.466804979253112,7.105605291318721,-2.4581727049479087
58350.5,o,7,-0.3367308187395898,8.801594030788433,-0.03825793572865187
58359.5,o,3,1.9465648854961832,11.120437137873878,0.17504391791097773
58361.5,o,3,-12.800848751788326,6.880035409426757,-1.8605789054877684
58363.5,o,4,-4.842239325889107,8.575954546221483,-0.5646297796695494
58369.5,o,4,-3.13193732213083,5.160223462889999,-0.6069383127793422
58371.5,o,4,5.0510688836104505,7.237077926353565,0.697943138793236
58375.5,o,4,-9.015570811805508,6.562040253149548,-1.3738975172360992
58376.5,o,4,-2.375296912114014,5.3610719671143725,-0.4430637989350722
58377.5,o,4,4.966641957005189,4.900794931055971,1.0134359888294755
58378.5,o,4,-5.949366319264977,11.096657089924301,-0.5361404133743094
58379.5,o,4,-6.961517963579102,13.803540162020802,-0.5043284463164813
58380.5,o,4,-10.743435858964743,9.367226709867683,-1.1469174593209455
58386.5,o,4,-6.336200518694969,22.582439762734122,-0.28058086660552334
58389.5,o,4,-0.08374464279944485,7.269344003964342,-0.011520247597826523
58391.5,o,4,5.847644798970798,7.590961267231385,0.7703431216562618
58393.5,o,4,-4.531356915703326,5.5516086867399,-0.8162241201413456
58395.5,o,4,-3.37531460981025,9.906239216171077,-0.34072613593868617
