mjd_mean,band,n,flux_uJy,err_uJy,snr,magAB
59055.37733800011,ZTF_g,1,3.372017739735326,2.7924818365207513,1.2075343501380258,22.580340995472167
59061.40127152415,ZTF_r,2,-5.43987204914802,2.8289724299513996,-1.9229144800260476,
59069.33453699993,ZTF_g,1,9.29681323438773,5.393420151322027,1.7237324320281093,21.479230356245935
59069.401157400105,ZTF_r,1,-4.322190328615394,4.828075024607501,-0.8952202081753623,
59076.355532399844,ZTF_r,1,-0.4224489033792566,4.323586499762572,-0.09770798003057304,
59099.31275459984,ZTF_r,1,-1.5827152087096235,6.613392582410177,-0.2393197120823002,
59099.35702549992,ZTF_g,1,0.3787828319219203,7.939539565986499,0.047708412909062185,24.954089905605024
59111.2531134002,ZTF_r,1,4.476561079302904,3.4332894780028047,1.303869396386286,22.272704336056414
59111.31660880009,ZTF_g,1,5.152900839333854,4.298150228496948,1.1988647593492352,22.119936159465702
59114.23006939982,ZTF_g,1,-2.4353371231119896,3.161257989393549,-0.7703696222462315,
59114.292673599906,ZTF_r,1,5.746805872007534,3.68643098356025,1.5589077613647422,22.001499305165698
59124.16556710005,ZTF_g,1,4.120494500701614,12.306071930605942,0.3348342610003519,22.36269227513697
59128.26351850014,ZTF_r,1,2.98796428597064,7.044440330836492,0.4241592157280483,22.711627116748602
59130.23218750022,ZTF_g,1,-2.793161342337568,3.905731622368122,-0.7151442066170484,
59130.26965280016,ZTF_r,1,-2.949921539754248,4.965226703681296,-0.5941161835706577,
59134.192835600115,ZTF_r,1,5.810916486473759,4.2218514665359175,1.3763905557865799,21.989454037593504
59134.21130790003,ZTF_g,1,1.4217223232464464,4.137095335287182,0.34365229902243855,23.51802866585767
59136.189942100085,ZTF_r,1,1.2652432154036828,3.527020464735075,0.35872862889632223,23.644630579342895
59136.2118286998,ZTF_g,1,0.08068683694237902,3.1155902654061327,0.02589776898402945,26.633058895438772
59138.210486100055,ZTF_g,1,-0.887202567878012,4.909891662855863,-0.18069697435278365,
59140.15119209978,ZTF_g,1,-0.7750415901412541,3.2128858436523973,-0.24122910923600993,
59143.19133100007,ZTF_g,1,1.8308176181395397,2.9784516121649665,0.6146877158124323,23.24345291469661
59143.228043999996,ZTF_r,1,1.8776448779146246,3.42083173998398,0.5488854818458325,23.216031980127152
59145.148958299775,ZTF_r,1,6.1592770445953455,3.9033705200584907,1.577938095536739,21.926241274488408
59145.18952549994,ZTF_g,1,1.4399273068577656,4.392413255050156,0.3278214555978348,23.504214202855607
59150.16997689986,ZTF_g,1,-15.504160268873195,9.700892908321784,-1.5982199180420964,
59150.18988429988,ZTF_r,1,10.486453880286494,11.908098269100227,0.8806153294432669,21.348493994407796
59151.1651504999,ZTF_g,1,-3.429278740383789,9.134048193892934,-0.37543908983057706,
59151.21128469985,ZTF_r,1,4.928411571355095,9.309005812973256,0.5294240513295997,22.168298200839764
59152.2047917,ZTF_r,1,-6.972561794162998,8.286972292299168,-0.841388331977698,
59152.23553240019,ZTF_g,1,-2.5351837350686304,11.63695986524958,-0.21785618962554168,
59153.14749999996,ZTF_g,1,-7.849946223178167,10.852463377436743,-0.7233331226437416,
59153.164343684766,ZTF_r,2,2.2240463267369233,3.882287006500072,0.572870146646352,23.03220604895877
59154.19443289983,ZTF_r,1,4.86960420502998,7.089123842073573,0.6869119955457877,22.181331462857973
59158.20868059993,ZTF_g,1,-3.9976061233123343,8.50459267478139,-0.4700526264081298,
59164.14730319986,ZTF_r,1,-1.5950287064685575,6.019391387940366,-0.26498172384406504,
59165.08444439992,ZTF_r,1,0.5547081827618843,3.753849082778127,0.14777050715937654,24.539904191260455
59165.14865740016,ZTF_g,1,-2.9282734501740175,3.620066248692888,-0.808900514246484,
59167.19212959986,ZTF_r,1,-1.6870384896228774,6.376706874325709,-0.2645626532427476,
