mjd,jd,survey,band,diff_flux_nJy,diff_flux_err_nJy,science_flux_nJy,science_flux_err_nJy,template_flux_nJy,diff_mag_AB,science_mag_AB,sep_from_mean_as,note
60220.29072920001,2460220.7907292,ZTF_ZFPS_nightly,ZTF_g,2217.3,10524.6,,,,23.036,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.21
60220.295231500175,2460220.7952315,ZTF_ZFPS_nightly,ZTF_r,4896.4,8445.4,,,,22.175,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.58
60220.887464598214,2460221.3874645983,ATLAS_FP_nightlystack,ATLAS_o,4369.0,5844.0,,,,22.299,,0.0,n=4 exposures; SNR=0.75
60221.85178066239,2460222.3517806623,ATLAS_FP_nightlystack,ATLAS_o,9938.0,6674.0,,,,21.407,,0.0,n=5 exposures; SNR=1.49
60223.1393489938,2460223.639348994,ATLAS_FP_nightlystack,ATLAS_c,-1943.0,4142.0,,,,,,0.0,n=7 exposures; SNR=-0.47
60223.33173609991,2460223.8317361,ZTF_ZFPS_nightly,ZTF_i,-11571.0,12684.3,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.91
60224.23092589993,2460224.7309259,ZTF_ZFPS_nightly,ZTF_r,120.6,4153.6,,,,26.197,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.03
60224.27252310002,2460224.7725231,ZTF_ZFPS_nightly,ZTF_g,-4474.0,5526.4,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.81
60225.10902093269,2460225.6090209326,ATLAS_FP_nightlystack,ATLAS_o,-6152.0,6609.0,,,,,,0.0,n=4 exposures; SNR=-0.93
60226.143169329414,2460226.6431693295,ATLAS_FP_nightlystack,ATLAS_o,2313.0,7134.0,,,,22.99,,0.0,n=4 exposures; SNR=0.32
60226.84967010445,2460227.3496701047,ATLAS_FP_nightlystack,ATLAS_o,3929.0,7039.0,,,,22.414,,0.0,n=4 exposures; SNR=0.56
60227.211423600085,2460227.7114236,ZTF_ZFPS_nightly,ZTF_g,2569.4,3611.4,,,,22.875,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.71
60228.10531530053,2460228.6053153006,ATLAS_FP_nightlystack,ATLAS_o,1797.0,4527.0,,,,23.264,,0.0,n=8 exposures; SNR=0.4
60229.12962752681,2460229.6296275267,ATLAS_FP_nightlystack,ATLAS_o,4913.0,4987.0,,,,22.172,,0.0,n=8 exposures; SNR=0.99
60231.09623077502,2460231.596230775,ATLAS_FP_nightlystack,ATLAS_o,-3656.0,11678.0,,,,,,0.0,n=4 exposures; SNR=-0.31
60232.2280323999,2460232.7280324,ZTF_ZFPS_nightly,ZTF_g,5689.6,4201.7,,,,22.012,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.35
60232.84719103921,2460233.347191039,ATLAS_FP_nightlystack,ATLAS_o,1266.0,7684.0,,,,23.644,,0.0,n=3 exposures; SNR=0.16
60234.147152800106,2460234.6471528,ZTF_ZFPS_nightly,ZTF_r,-1292.2,4102.7,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.31
60235.08285139145,2460235.5828513913,ATLAS_FP_nightlystack,ATLAS_o,-17113.0,6866.0,,,,,,0.0,n=4 exposures; SNR=-2.49
60235.83174539809,2460236.331745398,ATLAS_FP_nightlystack,ATLAS_o,-4336.0,5706.0,,,,,,0.0,n=4 exposures; SNR=-0.76
60236.855404578906,2460237.355404579,ATLAS_FP_nightlystack,ATLAS_o,-1123.0,5329.0,,,,,,0.0,n=4 exposures; SNR=-0.21
60238.12622690014,2460238.6262269,ZTF_ZFPS_nightly,ZTF_r,-4383.6,4441.1,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.99
60243.12754630018,2460243.6275463,ZTF_ZFPS_nightly,ZTF_i,-4151.1,13191.7,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.31
60244.13630943243,2460244.6363094323,ATLAS_FP_nightlystack,ATLAS_o,-43230.0,36618.0,,,,,,0.0,n=2 exposures; SNR=-1.18
60244.15041670017,2460244.6504167,ZTF_ZFPS_nightly,ZTF_g,-9915.5,11255.0,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.88
60244.169247699894,2460244.6692477,ZTF_ZFPS_nightly,ZTF_r,4731.5,10209.6,,,,22.213,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.46
60247.10319317557,2460247.6031931755,ATLAS_FP_nightlystack,ATLAS_o,10250.0,10237.0,,,,21.373,,0.0,n=4 exposures; SNR=1.0
60247.84408772376,2460248.3440877236,ATLAS_FP_nightlystack,ATLAS_o,4392.0,11466.0,,,,22.293,,0.0,n=4 exposures; SNR=0.38
60248.1476619998,2460248.647662,ZTF_ZFPS_nightly,ZTF_r,-8963.7,9441.3,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.95
60249.231331000105,2460249.731331,ZTF_ZFPS_nightly,ZTF_i,-17930.8,14338.0,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-1.25
60250.18952549995,2460250.6895255,ZTF_ZFPS_nightly,ZTF_g,5924.0,7046.3,,,,21.969,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.84
60250.23187500006,2460250.731875,ZTF_ZFPS_nightly,ZTF_r,-9622.5,7516.5,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-1.28
60252.07070905508,2460252.5707090553,ATLAS_FP_nightlystack,ATLAS_c,4365.0,5552.0,,,,22.3,,0.0,n=4 exposures; SNR=0.79
60253.14997689985,2460253.6499769,ZTF_ZFPS_nightly,ZTF_r,-978.7,5497.7,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.18
60253.21089120023,2460253.7108912,ZTF_ZFPS_nightly,ZTF_g,836.0,4278.8,,,,24.095,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.20
60255.04759222106,2460255.547592221,ATLAS_FP_nightlystack,ATLAS_o,3769.0,8308.0,,,,22.459,,0.0,n=4 exposures; SNR=0.45
60255.14743060013,2460255.6474306,ZTF_ZFPS_nightly,ZTF_r,-5707.8,4289.1,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-1.33
60255.185428199824,2460255.6854282,ZTF_ZFPS_nightly,ZTF_g,3705.3,4419.5,,,,22.478,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.84
60257.13608800015,2460257.636088,ZTF_ZFPS_nightly,ZTF_i,-10742.3,10834.0,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.99
60258.1668866002,2460258.6668866,ZTF_ZFPS_nightly,ZTF_g,15325.4,7925.1,,,,20.937,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.93
60258.23431710014,2460258.7343171,ZTF_ZFPS_nightly,ZTF_r,4211.8,8331.1,,,,22.339,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.51
60260.16053240001,2460260.6605324,ZTF_ZFPS_nightly,ZTF_g,5220.5,4970.9,,,,22.106,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.05
60260.18783560023,2460260.6878356,ZTF_ZFPS_nightly,ZTF_i,-2836.5,8499.4,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.33
60260.19120369991,2460260.6912037,ZTF_ZFPS_nightly,ZTF_r,9119.6,6712.1,,,,21.5,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.36
60262.18949070013,2460262.6894907,ZTF_ZFPS_nightly,ZTF_g,2184.8,5101.7,,,,23.052,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.43
60267.024934625275,2460267.5249346253,ATLAS_FP_nightlystack,ATLAS_o,12183.0,10350.0,,,,21.186,,0.0,n=4 exposures; SNR=1.18
60270.06878522816,2460270.5687852283,ATLAS_FP_nightlystack,ATLAS_o,11722.0,14975.0,,,,21.227,,0.0,n=4 exposures; SNR=0.78
60273.05998293891,2460273.5599829387,ATLAS_FP_nightlystack,ATLAS_o,-1233.0,12872.0,,,,,,0.0,n=7 exposures; SNR=-0.1
60274.823261633814,2460275.323261634,ATLAS_FP_nightlystack,ATLAS_o,14783.0,13866.0,,,,20.976,,0.0,n=4 exposures; SNR=1.07
60278.0743781924,2460278.5743781924,ATLAS_FP_nightlystack,ATLAS_o,-445.0,6884.0,,,,,,0.0,n=8 exposures; SNR=-0.06
60284.12518520001,2460284.6251852,ZTF_ZFPS_nightly,ZTF_g,2411.6,5394.9,,,,22.944,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.45
60288.234490947296,2460288.7344909473,ATLAS_FP_nightlystack,ATLAS_c,-13319.0,6235.0,,,,,,0.0,n=4 exposures; SNR=-2.14
60290.80233350923,2460291.302333509,ATLAS_FP_nightlystack,ATLAS_o,-4396.0,10482.0,,,,,,0.0,n=4 exposures; SNR=-0.42
60291.12218749989,2460291.6221875,ZTF_ZFPS_nightly,ZTF_r,634.7,6428.9,,,,24.394,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.10
60294.20869858372,2460294.708698584,ATLAS_FP_nightlystack,ATLAS_o,-877.0,9795.0,,,,,,0.0,n=4 exposures; SNR=-0.09
