sdss_id,gaia_dr3_source_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_dah,p_dahe,p_dbh,p_mwd,p_cv,teff,logg,snr,telescope,run2d,v_astra,release,filetype,source,spectrum_pk,min_mjd,max_mjd,n_visits
100619073,5680077137810906624,139.3847,-18.98052,17.61542,11.22781,0.09586684,DAH,0.3396091,0.534026,0,0.002,0.001998214,0.01429218,-9999,-9999,18.78958,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,91163,10768752,60631,60631,1
74858700,3115382600062991872,105.6393,1.635147,18.41168,6.130694,0.1902504,DA,0.5863395,0.2998669,0,0,0.002,0.01219271,27877.99,9.49,18.33931,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,58020,10755032,59293,59294,2
70145476,2505660658943681024,26.58587,-1.647258,18.6946,2.875245,0.2242426,DA/DAH,0.4823499,0.3705113,0,0.001997528,0.004,0.004889843,-9999,-9999,18.13187,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2305791,12661480,60240,60617,2
56454080,681933535501912192,121.852,26.04394,19.90925,2.669325,0.44499,DA,0.5734221,0.3612871,0,0,0,0.005628579,-9999,-9999,17.88578,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1554049,12572797,59201,60699,4
89144329,4447531719836391168,253.7041,10.8631,17.92497,6.257275,0.110825,DAH/DA,0.2660832,0.3989384,0,0.001997528,0.007946302,0.0098085,-9999,-9999,17.87573,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,992436,9311448,60064,60064,1
79252920,3699606286708406912,183.0387,1.607441,17.98366,6.474312,0.1294242,DA/DAH,0.4683533,0.386797,0.001991379,0.001997528,0.001998214,0.03426215,-9999,-9999,17.56344,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2559686,8819265,60411,60411,1
55908198,600396471902522624,124.5982,9.239067,18.1094,3.921517,0.1327904,DA/DAH,0.3150858,0.3022503,0,0.002,0.009992857,0.01681036,-9999,-9999,17.48303,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,574102,11350475,60323,60324,2
57740866,894999926685547520,117.1628,36.46526,18.87077,4.511219,0.2348668,DAH/DA,0.2615125,0.2873035,0,0,0.01795812,0.0220713,-9999,-9999,16.68235,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,574134,12042530,60675,60675,1
63076205,1750240404807147776,313.6754,8.812156,17.91229,9.711123,0.1428554,DAH/DA,0.3966126,0.4043941,0.001999175,0,0.002,0.01040899,-9999,-9999,16.45909,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1625857,9159464,60120,60120,1
86600662,4236474381214232704,303.0965,0.4220206,17.99716,5.886418,0.1353664,DAH/DA,0.3697699,0.4464737,0,0,0.005963475,0.01355541,-9999,-9999,16.24185,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1375390,9600966,59734,59734,1
102767123,5848754492268362624,223.4019,-66.05963,17.88842,12.62814,0.09372445,DAH/DA,0.3272163,0.4156006,0,0.001997528,0.001998214,0.008017135,-9999,-9999,15.90421,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,3079523,12531987,60404,60405,2
